path,AvgCyclomatic correlation,AvgCyclomatic correlation pvalue,AvgCyclomaticModified correlation,AvgCyclomaticModified correlation pvalue,AvgCyclomaticStrict correlation,AvgCyclomaticStrict correlation pvalue,AvgEssential correlation,AvgEssential correlation pvalue,AvgLine correlation,AvgLine correlation pvalue,AvgLineBlank correlation,AvgLineBlank correlation pvalue,AvgLineCode correlation,AvgLineCode correlation pvalue,AvgLineComment correlation,AvgLineComment correlation pvalue,CountClassCoupled correlation,CountClassCoupled correlation pvalue,CountClassCoupledModified correlation,CountClassCoupledModified correlation pvalue,CountDeclClassMethod correlation,CountDeclClassMethod correlation pvalue,CountDeclClassVariable correlation,CountDeclClassVariable correlation pvalue,CountDeclInstanceMethod correlation,CountDeclInstanceMethod correlation pvalue,CountDeclInstanceVariable correlation,CountDeclInstanceVariable correlation pvalue,CountDeclMethod correlation,CountDeclMethod correlation pvalue,CountDeclMethodAll correlation,CountDeclMethodAll correlation pvalue,CountDeclMethodDefault correlation,CountDeclMethodDefault correlation pvalue,CountDeclMethodPrivate correlation,CountDeclMethodPrivate correlation pvalue,CountLine correlation,CountLine correlation pvalue,CountLineBlank correlation,CountLineBlank correlation pvalue,CountLineCode correlation,CountLineCode correlation pvalue,CountLineCodeDecl correlation,CountLineCodeDecl correlation pvalue,CountLineCodeExe correlation,CountLineCodeExe correlation pvalue,CountLineComment correlation,CountLineComment correlation pvalue,CountSemicolon correlation,CountSemicolon correlation pvalue,CountStmt correlation,CountStmt correlation pvalue,CountStmtDecl correlation,CountStmtDecl correlation pvalue,CountStmtExe correlation,CountStmtExe correlation pvalue,MaxCyclomatic correlation,MaxCyclomatic correlation pvalue,MaxCyclomaticModified correlation,MaxCyclomaticModified correlation pvalue,MaxCyclomaticStrict correlation,MaxCyclomaticStrict correlation pvalue,MaxEssential correlation,MaxEssential correlation pvalue,MaxNesting correlation,MaxNesting correlation pvalue,PercentLackOfCohesion correlation,PercentLackOfCohesion correlation pvalue,PercentLackOfCohesionModified correlation,PercentLackOfCohesionModified correlation pvalue,RatioCommentToCode correlation,RatioCommentToCode correlation pvalue,SumCyclomatic correlation,SumCyclomatic correlation pvalue,SumCyclomaticModified correlation,SumCyclomaticModified correlation pvalue,SumCyclomaticStrict correlation,SumCyclomaticStrict correlation pvalue,SumEssential correlation,SumEssential correlation pvalue,numberJavaFiles correlation,numberJavaFiles correlation pvalue,readability correlation,readability correlation pvalue,questions correlation,questions correlation pvalue,CountClassBase correlation,CountClassBase correlation pvalue,CountDeclClass correlation,CountDeclClass correlation pvalue,CountDeclMethodProtected correlation,CountDeclMethodProtected correlation pvalue,CountDeclMethodPublic correlation,CountDeclMethodPublic correlation pvalue,MaxInheritanceTree correlation,MaxInheritanceTree correlation pvalue,CountClassDerived correlation,CountClassDerived correlation pvalue
Azure-Samples/Azure-Spring-Cloud-Samples,0.3992329810775615,0.1765584679141579,0.3992329810775615,0.1765584679141579,0.3992329810775615,0.1765584679141579,0.4631178192189483,0.1109914795069625,0.4947939897358489,0.08561241912816339,-0.3463557928150943,0.2463312084456402,0.6927115856301886,0.008675023740863166,-0.41185292744257307,0.16201427981362074,0.3463557928150943,0.2463312084456402,-0.5442733887094339,0.0544774051772172,0.24739699486792446,0.41512423356401784,0.0494793989735849,0.8724706162807605,0.20592646372128653,0.4997027913845351,-0.3463557928150943,0.2463312084456402,0.4947939897358489,0.08561241912816339,0.4947939897358489,0.08561241912816339,-0.09980824526939037,0.7456240646241687,0.7240717059732042,0.005132269722587066,0.6432321866566036,0.017704539070170913,0.4947939897358489,0.08561241912816339,0.6432321866566036,0.017704539070170913,0.6927115856301886,0.008675023740863166,0.6927115856301886,0.008675023740863166,0.1979175958943396,0.5168814914628448,0.6927115856301886,0.008675023740863166,0.6432321866566036,0.017704539070170913,0.6927115856301886,0.008675023740863166,0.5937527876830188,0.03239762520329528,0.3958351917886792,0.1806117206650601,0.3958351917886792,0.1806117206650601,0.3958351917886792,0.1806117206650601,0.4631178192189483,0.1109914795069625,0.6927115856301886,0.008675023740863166,-0.3463557928150943,0.2463312084456402,-0.3463557928150943,0.2463312084456402,-0.5442733887094339,0.0544774051772172,0.6432321866566036,0.017704539070170913,0.6432321866566036,0.017704539070170913,0.6432321866566036,0.017704539070170913,0.4947939897358489,0.08561241912816339,0.6927115856301886,0.008675023740863166,-0.3958351917886792,0.1806117206650601,1.0,0.0,,,,,,,,,,,,
Azure-Samples/ms-identity-java-webapp,-0.8920540628023836,3.427494422222953e-06,-0.8920540628023836,3.427494422222953e-06,-0.8913780080915537,3.573973670018702e-06,,,-0.8913780080915537,3.573973670018702e-06,-0.042554069934639116,0.8756559465885665,-0.8913780080915537,3.573973670018702e-06,0.27804282476957415,0.297088833100179,-0.8540061667791177,2.5537492697085143e-05,-0.5974610698917635,0.01452614273045292,,,,,0.4786631710333467,0.06069872878448137,-0.15049239097649608,0.5779895053405517,0.460094674321081,0.07293691856591078,0.46044415760301177,0.07269125432574187,0.6090461875904957,0.01227468785591806,-0.819233322981781,0.00010333782845563186,-0.730957404380455,0.0012961616650538335,,,,,-0.6151996642116104,0.011195753161742358,,,-0.8283359154593564,7.384953955564099e-05,-0.8042735684102547,0.00017279871567032175,-0.7868058352769391,0.00029905066559049795,-0.6028345335002853,0.013444926458195698,-0.8374385079369316,5.17408467587852e-05,,,,,-0.7828229530714795,0.00033655015453093603,,,-0.8374385079369316,5.17408467587852e-05,-0.8764940521042368,8.428450249236593e-06,-0.877148885256546,8.135261749753366e-06,-0.7971135434139682,0.0002177207725815812,-0.5391762205244267,0.031140359172637137,-0.5391762205244267,0.031140359172637137,,,,,0.892731658086415,3.285798048890244e-06,0.31752240733502474,0.23076662334508918,1.0,0.0,0.015102839680998247,0.955729350969388,0.892731658086415,3.285798048890244e-06,0.9347494414286125,1.1351343806996236e-07,0.42336320978003295,0.10225825019301474,0.849778321061351,3.0820676903293596e-05,,
Azure-Samples/azure-cosmos-db-cassandra-java-getting-started,0.8376780679082778,3.49022440031211e-10,0.8376780679082778,3.49022440031211e-10,0.8376780679082778,3.49022440031211e-10,,,0.8376780679082778,3.49022440031211e-10,0.8376780679082778,3.49022440031211e-10,0.8376780679082778,3.49022440031211e-10,0.8376780679082778,3.49022440031211e-10,0.8376780679082778,3.49022440031211e-10,0.8376780679082778,3.49022440031211e-10,-0.8376780679082778,3.49022440031211e-10,,,0.8376780679082778,3.49022440031211e-10,0.8376780679082778,3.49022440031211e-10,0.8376780679082778,3.49022440031211e-10,0.8376780679082778,3.49022440031211e-10,,,0.8376780679082778,3.49022440031211e-10,0.8376780679082778,3.49022440031211e-10,0.8376780679082778,3.49022440031211e-10,0.8376780679082778,3.49022440031211e-10,0.8376780679082778,3.49022440031211e-10,0.8376780679082778,3.49022440031211e-10,0.8376780679082778,3.49022440031211e-10,0.8376780679082778,3.49022440031211e-10,0.8376780679082778,3.49022440031211e-10,0.8376780679082778,3.49022440031211e-10,0.8376780679082778,3.49022440031211e-10,0.8376780679082778,3.49022440031211e-10,0.8376780679082778,3.49022440031211e-10,0.8376780679082778,3.49022440031211e-10,,,0.8376780679082778,3.49022440031211e-10,0.8376780679082778,3.49022440031211e-10,0.8376780679082778,3.49022440031211e-10,0.8376780679082778,3.49022440031211e-10,0.8376780679082778,3.49022440031211e-10,0.8376780679082778,3.49022440031211e-10,0.8376780679082778,3.49022440031211e-10,0.8376780679082778,3.49022440031211e-10,,,-0.8376780679082778,3.49022440031211e-10,1.0,0.0,,,-0.8376780679082778,3.49022440031211e-10,,,,,,,,
Azure-Samples/cognitive-services-android-customvision-sample,-0.36828383476931076,0.032105893836497014,-0.36828383476931076,0.032105893836497014,-0.36828383476931076,0.032105893836497014,,,-0.44497983725282253,0.008365313910397186,-0.6711240017552086,1.3975695978281648e-05,-0.36828383476931076,0.032105893836497014,-0.8384714490621686,6.03304249291427e-10,-0.8885294460211042,2.3254011362886017e-12,0.48616727644881164,0.0035548040000063503,-0.9060129034702797,1.7266187657636e-13,-0.8910323458690508,1.64727497541183e-12,0.8811604723947531,6.1305330734081255e-12,0.12292155080491109,0.4885771605758322,-0.13120855512106608,0.45950597640947644,-0.13159963961020826,0.4581572431141001,,,0.48616727644881164,0.0035548040000063503,-0.8885294460211042,2.3254011362886017e-12,-0.8885294460211042,2.3254011362886017e-12,-0.41387236771405556,0.014964820227584963,-0.8885294460211042,2.3254011362886017e-12,-0.3638143707551201,0.03441928362754416,-0.8885294460211042,2.3254011362886017e-12,-0.8384714490621686,6.03304249291427e-10,-0.8360340269022071,7.525800040424843e-10,-0.8885294460211042,2.3254011362886017e-12,-0.3627567686025568,0.03498607109394388,-0.8885294460211042,2.3254011362886017e-12,-0.8885294460211042,2.3254011362886017e-12,-0.8885294460211042,2.3254011362886017e-12,-0.1312234634566379,0.45945452324147995,0.894277679925278,1.0402078832153648e-12,-0.9060129034702797,1.7266187657636e-13,-0.8885294460211042,2.3254011362886017e-12,-0.8885294460211042,2.3254011362886017e-12,-0.0725840955904564,0.6833159431056065,-0.0725840955904564,0.6833159431056065,-0.0725840955904564,0.6833159431056065,-0.0725840955904564,0.6833159431056065,0.48616727644881164,0.0035548040000063503,0.48616727644881164,0.0035548040000063503,1.0,0.0,0.48616727644881164,0.0035548040000063503,0.48616727644881164,0.0035548040000063503,0.48616727644881164,0.0035548040000063503,-0.13159963961020826,0.4581572431141001,0.48616727644881164,0.0035548040000063503,,
Azure-Samples/ms-identity-java-desktop,0.5543618612158774,0.07677050851905604,0.5543618612158774,0.07677050851905604,0.5543618612158774,0.07677050851905604,,,0.5878048780487806,0.05719882390259448,-0.9146341463414634,8.021333386032286e-05,0.5878048780487806,0.05719882390259448,0.9146341463414634,8.021333386032286e-05,-0.7850208078208224,0.004206103580693742,-0.03343480490240355,0.922258209256027,0.5762049940099021,0.06354982793891287,0.7000000000000001,0.01647097883651441,-0.03343480490240355,0.922258209256027,-0.03343480490240355,0.922258209256027,0.8667292034973334,0.0005542716249992703,0.8667292034973334,0.0005542716249992703,,,0.5762049940099021,0.06354982793891287,0.5878048780487806,0.05719882390259448,-0.4853658536585367,0.13018264634852733,0.5878048780487806,0.05719882390259448,0.5390243902439025,0.08707701521849161,0.5878048780487806,0.05719882390259448,0.9146341463414634,8.021333386032286e-05,0.5878048780487806,0.05719882390259448,0.5878048780487806,0.05719882390259448,-0.3088877944922867,0.35536128020596713,0.5878048780487806,0.05719882390259448,0.8667292034973334,0.0005542716249992703,0.8667292034973334,0.0005542716249992703,0.8667292034973334,0.0005542716249992703,0.9603416566831701,2.7231700277208164e-06,0.03343480490240355,0.922258209256027,0.9603416566831701,2.7231700277208164e-06,0.9603416566831701,2.7231700277208164e-06,0.9146341463414634,8.021333386032286e-05,0.5878048780487806,0.05719882390259448,0.5878048780487806,0.05719882390259448,0.5878048780487806,0.05719882390259448,0.9603416566831701,2.7231700277208164e-06,0.3088877944922867,0.35536128020596713,,,1.0,0.0,-0.03343480490240355,0.922258209256027,0.3088877944922867,0.35536128020596713,,,-0.03343480490240355,0.922258209256027,,,,
Azure-Samples/Hybrid-resources-java-manage-resource-group,-0.8997354108424374,2.2169779659807205e-09,-0.8997354108424374,2.2169779659807205e-09,-0.8997354108424374,2.2169779659807205e-09,,,-0.8997354108424374,2.2169779659807205e-09,-0.8997354108424374,2.2169779659807205e-09,-0.8997354108424374,2.2169779659807205e-09,-0.8997354108424374,2.2169779659807205e-09,-0.8997354108424374,2.2169779659807205e-09,0.8997354108424374,2.2169779659807205e-09,-0.8997354108424374,2.2169779659807205e-09,-0.8997354108424374,2.2169779659807205e-09,0.8997354108424374,2.2169779659807205e-09,0.8997354108424374,2.2169779659807205e-09,-0.8997354108424374,2.2169779659807205e-09,-0.8997354108424374,2.2169779659807205e-09,,,-0.8997354108424374,2.2169779659807205e-09,-0.8997354108424374,2.2169779659807205e-09,-0.8997354108424374,2.2169779659807205e-09,-0.8997354108424374,2.2169779659807205e-09,-0.8997354108424374,2.2169779659807205e-09,-0.8997354108424374,2.2169779659807205e-09,-0.8997354108424374,2.2169779659807205e-09,-0.8997354108424374,2.2169779659807205e-09,-0.8997354108424374,2.2169779659807205e-09,-0.8997354108424374,2.2169779659807205e-09,-0.8997354108424374,2.2169779659807205e-09,-0.8997354108424374,2.2169779659807205e-09,-0.8997354108424374,2.2169779659807205e-09,-0.8997354108424374,2.2169779659807205e-09,-0.8997354108424374,2.2169779659807205e-09,-0.8997354108424374,2.2169779659807205e-09,-0.8997354108424374,2.2169779659807205e-09,-0.8997354108424374,2.2169779659807205e-09,0.8997354108424374,2.2169779659807205e-09,-0.8997354108424374,2.2169779659807205e-09,-0.8997354108424374,2.2169779659807205e-09,-0.8997354108424374,2.2169779659807205e-09,-0.8997354108424374,2.2169779659807205e-09,0.8997354108424374,2.2169779659807205e-09,0.8997354108424374,2.2169779659807205e-09,0.9999999999999998,2.2282693381707162e-170,0.8997354108424374,2.2169779659807205e-09,0.8997354108424374,2.2169779659807205e-09,,,-0.8997354108424374,2.2169779659807205e-09,,,,
Azure-Samples/ms-identity-android-java,0.21035158095583562,0.4517555472025008,0.21035158095583562,0.4517555472025008,0.0,1.0,,,0.5063619644329441,0.054094435890643326,0.2930492494367113,0.2891407032868188,0.6286185570937122,0.012071164141513635,0.6246017839672185,0.01280133366505965,0.05860984988734226,0.8356356120896165,0.2930492494367113,0.2891407032868188,0.3516054232038715,0.19874503406820912,-0.26940795304016235,0.3315447907128397,0.11720180773462385,0.6774247251816204,0.6246017839672185,0.01280133366505965,0.11720180773462385,0.6774247251816204,-0.09768308314557043,0.7290921189565376,,,0.11720180773462385,0.6774247251816204,0.6246017839672185,0.01280133366505965,0.6246017839672185,0.01280133366505965,0.5610168307573878,0.02956955251522614,0.6246017839672185,0.01280133366505965,0.6246017839672185,0.01280133366505965,0.6246017839672185,0.01280133366505965,0.6272087408492496,0.012323655695057516,0.6246017839672185,0.01280133366505965,0.6246017839672185,0.01280133366505965,0.6246017839672185,0.01280133366505965,0.26768647884309366,0.3347634837605118,0.26768647884309366,0.3347634837605118,0.2881769890388444,0.297603881148916,0.3516054232038715,0.19874503406820912,0.21035158095583562,0.4517555472025008,0.20356413280434144,0.4668113859316825,0.39101173052787647,0.14954775344381446,0.6246017839672185,0.01280133366505965,0.6286185570937122,0.012071164141513635,0.6246017839672185,0.01280133366505965,0.6226220585942176,0.013173578417979304,0.3516054232038715,0.19874503406820912,0.3516054232038715,0.19874503406820912,-0.3516054232038715,0.19874503406820912,1.0,0.0,-0.3516054232038715,0.19874503406820912,0.3516054232038715,0.19874503406820912,-0.09768308314557043,0.7290921189565376,-0.21035158095583562,0.4517555472025008,0.0,1.0,,
Azure-Samples/active-directory-android,0.5640693468921527,0.0005119790834310885,0.5640693468921527,0.0005119790834310885,0.5640693468921527,0.0005119790834310885,0.5640693468921527,0.0005119790834310885,0.5934959160593941,0.00021584833279609592,0.43071636096790017,0.010993272729938875,0.5934959160593941,0.00021584833279609592,0.5934959160593941,0.00021584833279609592,0.5934959160593941,0.00021584833279609592,,,,,0.5934959160593941,0.00021584833279609592,0.5934959160593941,0.00021584833279609592,0.5934959160593941,0.00021584833279609592,0.5934959160593941,0.00021584833279609592,0.5934959160593941,0.00021584833279609592,,,0.5934959160593941,0.00021584833279609592,0.5934959160593941,0.00021584833279609592,0.5934959160593941,0.00021584833279609592,0.5934959160593941,0.00021584833279609592,0.5934959160593941,0.00021584833279609592,0.5934959160593941,0.00021584833279609592,0.5934959160593941,0.00021584833279609592,0.5934959160593941,0.00021584833279609592,0.5934959160593941,0.00021584833279609592,0.5934959160593941,0.00021584833279609592,0.5934959160593941,0.00021584833279609592,0.5934959160593941,0.00021584833279609592,0.5934959160593941,0.00021584833279609592,0.5934959160593941,0.00021584833279609592,0.43071636096790017,0.010993272729938875,0.5934959160593941,0.00021584833279609592,0.43071636096790017,0.010993272729938875,0.43071636096790017,0.010993272729938875,0.43071636096790017,0.010993272729938875,0.5934959160593941,0.00021584833279609592,0.5934959160593941,0.00021584833279609592,0.5934959160593941,0.00021584833279609592,0.43071636096790017,0.010993272729938875,0.5640693468921527,0.0005119790834310885,0.43071636096790017,0.010993272729938875,1.0,0.0,0.5640693468921527,0.0005119790834310885,0.5934959160593941,0.00021584833279609592,0.5640693468921527,0.0005119790834310885,0.5640693468921527,0.0005119790834310885,0.5640693468921527,0.0005119790834310885,,
Azure-Samples/azure-iot-samples-java,-0.7080087557624197,1.2051857466129095e-05,-0.7080087557624197,1.2051857466129095e-05,-0.485726470332143,0.006506533696625185,0.3509312031717982,0.057245829499339845,-0.7080087557624197,1.2051857466129095e-05,-0.7080087557624197,1.2051857466129095e-05,-0.7080087557624197,1.2051857466129095e-05,-0.7099887421659119,1.1108521167594321e-05,-0.7080087557624197,1.2051857466129095e-05,0.7155205525050433,8.814849248921982e-06,-0.7080087557624197,1.2051857466129095e-05,-0.7155205525050433,8.814849248921982e-06,0.7080087557624197,1.2051857466129095e-05,0.7155205525050433,8.814849248921982e-06,0.7080087557624197,1.2051857466129095e-05,0.7080087557624197,1.2051857466129095e-05,,,0.7080087557624197,1.2051857466129095e-05,0.6490080261155514,0.00010456801336055357,-0.7080087557624197,1.2051857466129095e-05,0.7080087557624197,1.2051857466129095e-05,0.0,1.0,0.6490080261155514,0.00010456801336055357,-0.7080087557624197,1.2051857466129095e-05,0.7080087557624197,1.2051857466129095e-05,0.6490080261155514,0.00010456801336055357,0.0,1.0,0.7080087557624197,1.2051857466129095e-05,0.0,1.0,0.0,1.0,0.059069311245804564,0.756515922453129,0.39823398695998313,0.02928754574698121,-0.7088317349496548,1.1651338642402591e-05,0.7080087557624197,1.2051857466129095e-05,0.7080087557624197,1.2051857466129095e-05,-0.7080087557624197,1.2051857466129095e-05,0.6490080261155514,0.00010456801336055357,0.6490080261155514,0.00010456801336055357,0.7080087557624197,1.2051857466129095e-05,0.7080087557624197,1.2051857466129095e-05,0.7155205525050433,8.814849248921982e-06,0.6801678211481142,3.5497729454638365e-05,0.9999999999999999,1.0583940658398214e-220,0.7155205525050433,8.814849248921982e-06,0.7080087557624197,1.2051857466129095e-05,0.7155205525050433,8.814849248921982e-06,0.7080087557624197,1.2051857466129095e-05,0.7155205525050433,8.814849248921982e-06,,
Azure-Samples/active-directory-java-webapp-openidconnect,-0.6991882761092785,5.176517944976409e-10,-0.6991882761092785,5.176517944976409e-10,-0.6967731107712511,6.284154623316793e-10,-0.6991882761092785,5.176517944976409e-10,-0.09820530858998618,0.45536527097996893,0.7463793588964003,7.641613175097908e-12,-0.6991882761092785,5.176517944976409e-10,-0.6991882761092785,5.176517944976409e-10,0.9513461017037674,2.428656114226647e-31,0.6991882761092785,5.176517944976409e-10,-0.6991882761092785,5.176517944976409e-10,0.6991882761092785,5.176517944976409e-10,0.6991882761092785,5.176517944976409e-10,-0.6991882761092785,5.176517944976409e-10,0.6991882761092785,5.176517944976409e-10,0.6991882761092785,5.176517944976409e-10,-0.6991882761092785,5.176517944976409e-10,0.6991882761092785,5.176517944976409e-10,-0.09820530858998618,0.45536527097996893,0.9513461017037674,2.428656114226647e-31,-0.09820530858998618,0.45536527097996893,0.9513461017037674,2.428656114226647e-31,-0.6991882761092785,5.176517944976409e-10,-0.1251502208035071,0.3407067216278439,-0.09820530858998618,0.45536527097996893,0.9494907199247122,7.007361047943701e-31,0.9513461017037674,2.428656114226647e-31,-0.6991882761092785,5.176517944976409e-10,-0.6991882761092785,5.176517944976409e-10,-0.6991882761092785,5.176517944976409e-10,-0.6991882761092785,5.176517944976409e-10,0.6967731107712511,6.284154623316793e-10,-0.6991882761092785,5.176517944976409e-10,0.6991882761092785,5.176517944976409e-10,0.6991882761092785,5.176517944976409e-10,0.7370626887687928,1.8850406467366917e-11,0.6991882761092785,5.176517944976409e-10,0.6991882761092785,5.176517944976409e-10,-0.6991882761092785,5.176517944976409e-10,0.6991882761092785,5.176517944976409e-10,,,-0.1126012877163461,0.39167322202418564,1.0,0.0,-0.6991882761092785,5.176517944976409e-10,0.6991882761092785,5.176517944976409e-10,,,-0.6991882761092785,5.176517944976409e-10,-0.6991882761092785,5.176517944976409e-10,,
Azure-Samples/media-services-v3-java,0.2360643446023195,0.3787526942965753,-0.2360643446023195,0.3787526942965753,0.2360643446023195,0.3787526942965753,,,-0.2360643446023195,0.3787526942965753,-0.472128689204639,0.06481904880416538,-0.2360643446023195,0.3787526942965753,-0.7081930338069586,0.0021398909650884824,-0.472128689204639,0.06481904880416538,0.472128689204639,0.06481904880416538,-0.472128689204639,0.06481904880416538,-0.472128689204639,0.06481904880416538,0.7081930338069586,0.0021398909650884824,0.472128689204639,0.06481904880416538,-0.2360643446023195,0.3787526942965753,-0.2360643446023195,0.3787526942965753,,,-0.472128689204639,0.06481904880416538,0.0,1.0,-0.2360643446023195,0.3787526942965753,0.0,1.0,-0.472128689204639,0.06481904880416538,0.0,1.0,-0.472128689204639,0.06481904880416538,-0.2360643446023195,0.3787526942965753,-0.2360643446023195,0.3787526942965753,-0.472128689204639,0.06481904880416538,0.0,1.0,0.2360643446023195,0.3787526942965753,0.0,1.0,0.2360643446023195,0.3787526942965753,0.2360643446023195,0.3787526942965753,-0.2360643446023195,0.3787526942965753,-0.472128689204639,0.06481904880416538,-0.472128689204639,0.06481904880416538,-0.472128689204639,0.06481904880416538,0.2360643446023195,0.3787526942965753,0.0,1.0,0.2360643446023195,0.3787526942965753,0.2360643446023195,0.3787526942965753,0.7081930338069586,0.0021398909650884824,0.2360643446023195,0.3787526942965753,1.0,0.0,0.7081930338069586,0.0021398909650884824,0.7081930338069586,0.0021398909650884824,,,0.7081930338069586,0.0021398909650884824,,,,
