,framework,path,commits,date,numberOfJavaFiles,countLineCode/numberOfJavaFiles,SumCyclomaticStrict/CountDeclMethod,readability
82,azure,Azure-Samples/Azure-Spring-Cloud-Samples,f3935af0f1d2db3dcf95ffd8593b23771baad25c,2020-05-19 15:53:04+08:00,28,21.75,1.1515151515151516,0.22464538603006595
153,azure,Azure-Samples/Hybrid-Compute-Java-Create-VM-From-Custom-Image,904cf3d10de00fa010969ad8e831b68c562fb234,2019-10-24 10:12:25-07:00,2,1230.5,3.4831460674157304,0.0
154,azure,Azure-Samples/Hybrid-Compute-Java-Manage-VM-Certificate-Based-Auth,852f9ce8d6fe80e4830d10bf0594c97110ad51a8,2019-10-23 10:36:19-07:00,4,649.25,3.2448979591836733,0.0008768104016780853
156,azure,Azure-Samples/Hybrid-KeyVault-Java-Manage-Secrets-Certificate-Based-Auth,ba0491bb7bec7e10ce94f068fdde14ecb86aff90,2019-09-13 04:57:48+05:18,3,127.33333333333333,1.95,0.0
157,azure,Azure-Samples/Hybrid-resources-java-manage-resource-group,77898b25785540e6bd03f735e1ccf881027c9fc3,2020-03-19 11:31:26-07:00,2,1185.5,3.5454545454545454,0.0
160,azure,Azure-Samples/Java-application-petstore-ee7,b60f9f236da4f609d9752caed1cc82dab33aeecf,2020-05-12 16:00:49+05:18,102,64.83333333333333,1.2877358490566038,0.18729479890751854
229,azure,Azure-Samples/SpeechToText-REST,d57587c002019eeae9805bd225528bb0ff0b69c1,2017-09-26 10:05:37+02:00,6,67.83333333333333,1.6944444444444444,0.0007626996763671438
0,azure,Azure-Samples/aad-java-manage-passwords,ba71f61b9e9f73e4980d3cca2670bab571d3674d,2019-09-24 11:20:04-07:00,2,1280.5,3.8241758241758244,0.0
1,azure,Azure-Samples/aad-java-manage-resources-from-vm-with-msi,2e92e8cbda5b6c9d328b3006447debba37e1cacd,2020-01-14 16:18:15+08:00,2,1264.5,3.802197802197802,0.0
2,azure,Azure-Samples/aad-java-manage-service-principal-credentials,3d49bd04c274d8622881de71135fe2efef0c9683,2020-01-14 16:25:24+08:00,2,1288.0,3.8461538461538463,0.0
3,azure,Azure-Samples/aad-java-manage-service-principals,d450bb853449a53df19416074e882aae326f4fc6,2020-01-14 16:25:15+08:00,2,1296.0,3.5346534653465347,0.0
4,azure,Azure-Samples/aad-java-manage-users-groups-and-roles,a1c4ce08a22cce26b28339c99b1daaa1db531179,2020-01-14 16:25:26+08:00,2,1273.0,3.791208791208791,0.0
5,azure,Azure-Samples/aci-java-create-container-groups,253c6dc361d1a0c6444b82901ba749c90d3b917d,2020-01-14 16:27:55+08:00,2,1255.0,3.8333333333333335,0.0
6,azure,Azure-Samples/aci-java-manage-container-instances-1,a6cc13bc4eb99f0b6f11e76613d8d06245ea68f1,2020-01-14 16:27:38+08:00,2,1257.5,3.8444444444444446,0.0
7,azure,Azure-Samples/aci-java-manage-container-instances-2,844f4a95c4338040d8ffd854526f07d34d67f5fd,2020-01-14 16:27:46+08:00,2,1262.5,3.8444444444444446,0.0
8,azure,Azure-Samples/aci-java-scale-up-containers-using-acs,f4f75c4fd05285ac3ea315a2863ebaf508eacc80,2020-01-14 16:27:59+08:00,4,835.5,3.807017543859649,0.0
10,azure,Azure-Samples/acr-java-manage-azure-container-registry,3de960a4709ee4ffbb48cf2fffb81644ec0b7894,2020-01-14 16:26:54+08:00,4,786.25,3.719298245614035,0.0
9,azure,Azure-Samples/acr-java-manage-azure-container-registry-with-webhooks,3a09469546c0bab1c1f44366f5a272c001b67881,2020-01-14 16:27:02+08:00,4,789.5,3.719298245614035,0.0
11,azure,Azure-Samples/acs-java-deploy-image-from-acr-to-acs-orchestrator,6c9aa17fdc677563c3355f1d9564754320450490,2020-01-14 16:27:34+08:00,4,833.0,3.824561403508772,0.0
12,azure,Azure-Samples/acs-java-manage-azure-container-service-with-docker-swarm-orchestrator,15bc77c8e267b8bcf472236332694d1fa0e2dd8f,2020-01-14 16:27:32+08:00,3,912.0,3.616822429906542,0.0
13,azure,Azure-Samples/acs-java-manage-azure-container-service-with-kubernetes-orchestrator,5fe5a4adc2e13791092c4fc53cba58892d92aacb,2020-01-14 16:27:24+08:00,3,917.6666666666666,3.6448598130841123,0.0
15,azure,Azure-Samples/active-directory-android,8ca8d6e98e80c1d6ebce10fb2bf03b7c989a041a,2019-04-01 17:04:35-07:00,3,99.33333333333333,1.6785714285714286,0.3107802998274565
14,azure,Azure-Samples/active-directory-android-native-oidcandroidlib-v2,135a2917ac30551642724a10b5f3333c94c483ec,2018-04-13 10:08:03-07:00,20,115.0,2.0166666666666666,0.21355874752625822
16,azure,Azure-Samples/active-directory-b2c-android-appauth-ropc,2b8fbd0ea7e91139f11767dbb47978ae048b9bf9,2018-04-29 20:20:49-07:00,92,124.94565217391305,1.379638439581351,0.01584724655834219
17,azure,Azure-Samples/active-directory-b2c-android-native-appauth,3fee05d1ed6301dd5a9be90f2900c6266c969402,2019-09-23 14:45:47-07:00,88,116.9659090909091,1.359875904860393,0.018114672358933603
18,azure,Azure-Samples/active-directory-b2c-android-native-msal,c5782ac820c908d0b3131c132a35c2052f568b5c,2019-07-26 21:51:39-07:00,8,64.875,1.6415094339622642,0.26278438343433663
19,azure,Azure-Samples/active-directory-java-webapp-openidconnect,3439ad9150f9937fd538ac3217e55d4976b3bfd0,2019-09-09 14:00:44-07:00,8,99.0,1.3963963963963963,0.003721458022482693
20,azure,Azure-Samples/aks-java-deploy-image-from-acr-to-kubernetes,b55258bdcfca41fc1bc0798ca932e9a607ebe927,2020-01-14 16:27:09+08:00,4,830.25,3.8157894736842106,0.0
22,azure,Azure-Samples/aks-java-manage-kubernetes-cluster,1198c47ab858498eaf7e1a23e6f79df935d739ff,2020-01-14 16:27:17+08:00,3,916.6666666666666,3.6448598130841123,0.0
21,azure,Azure-Samples/aks-java-manage-kubernetes-cluster-with-advanced-networking,c4bf430d7b0c0fa1f61219e3f574e9acd4c5e793,2020-01-14 16:27:09+08:00,3,924.6666666666666,3.6448598130841123,0.0
23,azure,Azure-Samples/app-service-api-apps-quickstart-java,cc92d1e7056bf23f76986285e59c04b4a2f8d7fb,2016-01-21 06:27:25-08:00,9,27.666666666666668,1.0344827586206897,0.018769238299379747
24,azure,Azure-Samples/app-service-java-access-key-vault-by-msi-for-web-apps,38a411268728946188240788a667bade4899c4b1,2020-01-14 16:24:04+08:00,2,1276.0,3.8333333333333335,0.0
26,azure,Azure-Samples/app-service-java-access-key-vault-convenience-for-web-apps,5a6ade256cbc3f97809fbf6679a926fa9c7cff24,2020-01-14 16:23:59+08:00,2,1278.5,3.8131868131868134,0.0
25,azure,Azure-Samples/app-service-java-access-key-vault-convenience-for-web-apps-on-linux,1d92bd39519683821a91c781a6646440bfe68452,2020-01-14 16:22:44+08:00,4,792.0,3.6608695652173915,0.0
28,azure,Azure-Samples/app-service-java-configure-deployment-sources-for-functions,158e55afa276415c58be60a22dd8e244c7fde3dc,2020-01-14 16:23:33+08:00,2,1316.5,3.7934782608695654,0.0
27,azure,Azure-Samples/app-service-java-configure-deployment-sources-for-functions-on-linux,e6b830696d108cff6225ae42e30d2b1f714d9534,2020-01-14 16:29:29+08:00,2,1276.5,3.857142857142857,0.0
31,azure,Azure-Samples/app-service-java-configure-deployment-sources-for-web-apps,6f7b898403c3c2040a5c9f890c717023bc38edbc,2020-01-14 16:24:31+08:00,2,1337.0,3.8351648351648353,0.0
29,azure,Azure-Samples/app-service-java-configure-deployment-sources-for-web-apps-async,038b5aa806c995a89c9d856ef22404ea4db490a6,2020-01-14 16:21:34+08:00,2,1319.0,3.7083333333333335,0.0
30,azure,Azure-Samples/app-service-java-configure-deployment-sources-for-web-apps-on-linux,0386efb566ee7d4b7343fd4f8dcf2de9abbf9191,2020-01-14 16:22:46+08:00,2,1297.5,3.8131868131868134,0.0
32,azure,Azure-Samples/app-service-java-cosmosdb-mongodb-apis,363dd5e19ec91810b32bfc0959abdb06d65fd5f8,2019-10-23 21:49:34-07:00,14,53.642857142857146,1.0388349514563107,0.07878814790663975
33,azure,Azure-Samples/app-service-java-deploy-image-from-acr-to-linux,8259d2ec29046f05a43345890f7f972221dae676,2020-01-14 16:24:35+08:00,4,788.0,3.6782608695652175,0.0
34,azure,Azure-Samples/app-service-java-manage-authentication-for-functions,88f771e7ee60d4230bcffc6885cf6ee7b9409728,2020-01-14 16:23:37+08:00,2,1302.5,3.7934782608695654,0.0
35,azure,Azure-Samples/app-service-java-manage-authentication-for-web-apps,5b57dcf01e84932827903251d2eb3d0b14391ea8,2020-01-14 16:22:22+08:00,2,1301.0,3.8131868131868134,0.0
37,azure,Azure-Samples/app-service-java-manage-data-connections-for-web-apps,20d4eff5b1685328ba2c54e7efbb5c94d24c0b96,2020-01-14 16:24:33+08:00,2,1265.0,3.8444444444444446,0.0
36,azure,Azure-Samples/app-service-java-manage-data-connections-for-web-apps-on-linux,eedc84834d91f1928af180bfe92d125929cc91ff,2020-01-14 16:23:11+08:00,2,1265.0,3.8444444444444446,0.0
39,azure,Azure-Samples/app-service-java-manage-functions,ff9e99f53e187aea7dc8f0fe586a11351b1f66df,2020-01-14 16:23:12+08:00,2,1268.5,3.8666666666666667,0.0
38,azure,Azure-Samples/app-service-java-manage-functions-with-custom-domains,2858e49505d5b842d3557a951fed7474396d9ec4,2020-01-14 16:23:33+08:00,2,1279.5,3.8333333333333335,0.0
40,azure,Azure-Samples/app-service-java-manage-logs-for-function-apps,73afdca5be3fd506b5e458b2a0c3101967ffc901,2020-01-14 16:23:39+08:00,2,1297.0,3.673469387755102,0.0
41,azure,Azure-Samples/app-service-java-manage-logs-for-web-apps,593bab799bb77149262492e1d67ce8b7734639cd,2020-01-14 16:23:59+08:00,2,1300.5,3.673469387755102,0.0
42,azure,Azure-Samples/app-service-java-manage-staging-and-production-slots-for-web-apps,b04e78e2a99e7db864476d568405c6f4fa5d2622,2020-01-14 16:24:26+08:00,2,1285.5,3.694736842105263,0.0
44,azure,Azure-Samples/app-service-java-manage-storage-connections-for-web-apps,98ba5e3cdee775b219665243b3c4e9b7e38077ae,2020-01-14 16:24:59+08:00,2,1283.0,3.774193548387097,0.0
43,azure,Azure-Samples/app-service-java-manage-storage-connections-for-web-apps-on-linux,a35b0403d2dd5fe6920b78608419ef3298111d2e,2020-01-14 16:23:06+08:00,2,1282.5,3.774193548387097,0.0
48,azure,Azure-Samples/app-service-java-manage-web-apps,7a448ebe52aa9b72da3328eb2a5cc439e895db37,2020-01-14 16:24:05+08:00,2,1272.5,3.8666666666666667,0.0
46,azure,Azure-Samples/app-service-java-manage-web-apps-on-linux,859d66cafc05fd94f10c4e8ec88a2a11c5acfddc,2020-01-14 16:22:32+08:00,2,1274.5,3.8666666666666667,0.0
45,azure,Azure-Samples/app-service-java-manage-web-apps-on-linux-with-custom-domains,479d8a7e59bdc14cb893865f118e354075410ffb,2020-01-14 16:22:40+08:00,2,1283.0,3.8333333333333335,0.0
47,azure,Azure-Samples/app-service-java-manage-web-apps-with-custom-domains,e213388b20c4a163e785dd9cf91e5d93016fff67,2020-01-14 16:24:49+08:00,2,1281.5,3.8333333333333335,0.0
50,azure,Azure-Samples/app-service-java-scale-web-apps,9555585d1d3c7e7125165431915f2c332ad4f979,2020-01-14 16:24:59+08:00,2,1317.0,3.752688172043011,0.0
49,azure,Azure-Samples/app-service-java-scale-web-apps-on-linux,b32378cad7c115db6387a3d1ac04ece5d742cdea,2020-01-14 16:23:06+08:00,2,1318.0,3.752688172043011,0.0
51,azure,Azure-Samples/app-service-maven,3009a8984c9fb845344250ec7bb857f09d4e972c,2017-06-13 12:04:18-07:00,0,0,0,0
52,azure,Azure-Samples/application-gateway-java-manage-application-gateways,dad3c9685010b8a50470701c6d059b2c00c0131b,2020-01-14 16:29:25+08:00,2,1310.5,3.857142857142857,0.0
53,azure,Azure-Samples/application-gateway-java-manage-simple-application-gateways,2fdb212d24f419f94c894d46fbb1fc2907b9ba39,2020-01-14 16:26:31+08:00,2,1259.0,3.802197802197802,0.0
55,azure,Azure-Samples/azure-cosmos-cassandra-java-retry-sample,9cdcc0f12e131799cfd63ca0d332afbd2311eed4,2020-03-16 11:53:59+00:00,5,72.0,1.5714285714285714,0.012644292414188385
54,azure,Azure-Samples/azure-cosmos-cassandra-java-retry-sample-v4,9172930900e4a1d5968be88b2550512d08ac327f,2020-04-24 18:40:04+01:00,6,71.33333333333333,1.6486486486486487,0.010536910345156988
57,azure,Azure-Samples/azure-cosmos-db-cassandra-java-getting-started,d19fe8f5be27b6f87a171646ed4ca00749d0bda0,2020-04-09 10:41:50-07:00,5,44.2,1.3333333333333333,0.014501357078552246
56,azure,Azure-Samples/azure-cosmos-db-cassandra-java-getting-started-v4,9ccb5276d9bdf9dcb9e09f90400a043098e2bab1,2020-05-18 19:50:51+01:00,5,46.2,1.3478260869565217,0.014501357078552246
58,azure,Azure-Samples/azure-cosmos-db-documentdb-java-getting-started,55320e89c7c29989c5aefe434ef1dc555fb02796,2020-03-12 12:49:00-07:00,6,57.166666666666664,1.2,0.1839442837056898
59,azure,Azure-Samples/azure-cosmos-db-graph-java-getting-started,931c28b1cedf4c6be9c1c6da5475f1182a252935,2019-09-13 05:14:28+05:18,1,88.0,7.0,0.0
60,azure,Azure-Samples/azure-cosmos-db-mongodb-java-changestream,e234c2af11ae6aba31cab04a5f20dea2d65ca330,2020-05-15 13:06:36+05:18,1,78.0,6.0,0.0
61,azure,Azure-Samples/azure-cosmos-db-mongodb-java-geo-readpreference,8ae34dd202ff0306606be402e5b965818d22e0c8,2019-09-10 10:07:02-07:00,1,128.0,2.3333333333333335,0.0
62,azure,Azure-Samples/azure-cosmos-db-mongodb-java-getting-started,6689ce92b17a34d76137570ffd4cb534a2cf679f,2019-09-10 10:08:04-07:00,1,30.0,2.0,0.015773562714457512
63,azure,Azure-Samples/azure-cosmos-db-mongodb-spring,cf1ece0216fa9b48f8266bb6b4b81678fc648078,2019-09-13 00:11:35+05:18,8,20.25,0.7647058823529411,0.0599278577901714
64,azure,Azure-Samples/azure-cosmos-db-sql-api-async-java-getting-started,2c8c6ffe2c0942c5eb56ce492ebdcee9df9f3d3a,2019-09-13 00:55:28+05:18,8,57.625,1.3703703703703705,0.027760768152802484
65,azure,Azure-Samples/azure-cosmos-db-sql-java-multi-master,8c5745050390ad6eed4b681fe76c96fad54f0422,2018-09-18 16:41:20-07:00,6,166.5,2.806451612903226,0.02388460437456767
66,azure,Azure-Samples/azure-cosmos-java-getting-started,18f0c8dfa3231a73f8c02412e3bac26345fa8729,2020-04-29 21:01:55-07:00,9,63.666666666666664,1.4576271186440677,0.1287465800430962
67,azure,Azure-Samples/azure-cosmos-java-sql-api-samples,30ca98a25703348fe08ab341c731088b245695a8,2020-05-15 05:28:16-07:00,27,103.55555555555556,1.7251184834123223,0.0909404526761069
68,azure,Azure-Samples/azure-cosmos-java-sql-api-todo-app,916f282eb885eb820e9c692cf5396caeb2131c81,2020-04-28 19:45:20-07:00,9,52.888888888888886,1.4545454545454546,0.18552649992246492
69,azure,Azure-Samples/azure-cosmos-java-sql-app-example,fb950561173c14f341690c33c167dc545a260d01,2020-03-30 14:05:28-07:00,2,127.5,3.4,0.023701118305325508
70,azure,Azure-Samples/azure-cosmosdb-bulkingestion,ddfbba473c405a0c5444e61d32c398aa768cfef7,2019-09-13 05:22:18+05:18,27,85.29629629629629,1.8160919540229885,0.0342458034062508
71,azure,Azure-Samples/azure-cosmosdb-cassandra-counters,e7c1e93929f2f860d8ea8f8bd713169ff987cf07,2019-07-31 10:20:55-07:00,5,46.0,1.3333333333333333,0.014501357078552246
72,azure,Azure-Samples/azure-cosmosdb-java-pagination,ba1e6bdcb1b9ab7d739723e974099bb17de6e292,2019-09-24 09:43:49-07:00,2,73.5,2.0,0.06073508411645889
73,azure,Azure-Samples/azure-cosmosdb-jsonldconversion,34acef0dec5f591e0736b7a8589a8867407f4f6a,2019-07-09 16:51:36-07:00,8,65.75,3.25,0.23203882342204452
74,azure,Azure-Samples/azure-cosmosdb-springboot-pagination,3f4dc00f3e11e909a81b6ca0257202f3f548dd39,2019-09-24 09:42:59-07:00,9,21.444444444444443,1.5,0.21696873840927663
75,azure,Azure-Samples/azure-functions-samples-java,4e9e3e1a07b0392515bffdc5701d12ce84f6020c,2020-04-24 15:54:36+08:00,3,38.333333333333336,1.0769230769230769,0.0006697070008764664
76,azure,Azure-Samples/azure-iot-central-arm-sdk-samples,42744187c3a729ee91a8f0a10ea4ab7bd920ed48,2020-05-18 17:04:03+01:00,1,63.0,3.0,0.0
77,azure,Azure-Samples/azure-iot-edge-devops-sample-java,6fe888e4612c302d5ccd82148e9f764a1738a199,2020-04-01 10:43:49+08:00,3,66.66666666666667,1.6666666666666667,0.0
78,azure,Azure-Samples/azure-iot-samples-java,6f7f0b68b7a2f69d9f0673621a82f2e0372d16d8,2020-01-30 11:32:13-08:00,22,102.9090909090909,1.8287671232876712,0.005936040104477963
79,azure,Azure-Samples/azure-mobile-apps-android-quickstart,a58178a0abc9c76ee74a69c03af5cd215045c884,2017-04-03 16:25:50-07:00,3,115.33333333333333,1.4878048780487805,0.0032490144949406385
80,azure,Azure-Samples/azure-sdk-for-java-storage-blob-upload-download,5d5952a3ad3b51b3dbdb9443275bc305112ad1b9,2020-01-12 19:33:21-08:00,2,119.5,3.4444444444444446,0.0
81,azure,Azure-Samples/azure-search-java-samples,f284b79feac1b71ac66a763de0a34d3ba7285316,2020-04-18 11:01:23-07:00,33,63.0,0.8975155279503105,0.02463065865132111
83,azure,Azure-Samples/azure-springaop-appconfig,71ad98768ea6eb2a43bc8ecf8c075c7124bcf6a6,2019-09-02 17:41:43-07:00,4,26.75,1.0,0.1058690493227914
84,azure,Azure-Samples/azure-springboot-cosmosdb-cassandra-counter,cef2055be4cf45b77bf323e2de5e0ad5a123e9cc,2019-07-31 10:46:59-07:00,4,22.0,0.75,0.0900562833994627
85,azure,Azure-Samples/batch-java-manage-batch-accounts,4fa389c30bff7a804f587a6a9963df24305d7ed4,2020-01-14 16:21:00+08:00,2,1292.0,3.901098901098901,0.0
86,azure,Azure-Samples/batchai-java-run-batchai-job,1ba07c19f06dc33d939b17207e0fa1b57711bbb0,2020-01-14 16:21:01+08:00,2,1288.5,3.8461538461538463,0.0
87,azure,Azure-Samples/bootiful-azure,f66f7ec16eb185a07b41c3165c468a28aa61cc9c,2018-11-28 08:45:14+00:00,2,76.5,1.1538461538461537,0.08030766993761063
88,azure,Azure-Samples/cdn-java-manage-cdn,e65dd30f6baaaa8ecbc4974a996affc6cd245d55,2020-01-14 16:21:33+08:00,2,1279.5,3.774193548387097,0.0
89,azure,Azure-Samples/cognitive-services-android-customvision-sample,71258ab9eae10126beee98f7bc5cb6a28c465380,2020-04-08 18:47:38+09:00,35,97.22857142857143,1.6388059701492537,0.0884585674781452
90,azure,Azure-Samples/cognitive-services-face-android-detect,6c74d6979b25d1498de095bfd5c65ebd4e38b0e5,2019-09-13 04:15:19+05:18,3,55.0,1.6153846153846154,0.3091044494261344
91,azure,Azure-Samples/cognitive-services-java-computer-vision-tutorial,ad64d9a0103ac46ac87ad4ce0918e2ff199ceb90,2017-09-25 13:19:33-07:00,2,898.5,2.3,0.0
92,azure,Azure-Samples/cognitive-services-java-sdk-samples,8ef11818ff7f115e58907a601f96fc4631ed5c12,2020-05-15 13:27:25-07:00,29,112.86206896551724,2.814814814814815,0.03286628103172728
93,azure,Azure-Samples/cognitive-services-personalizer-samples,05ecaf93ac3ead2ba7993d4d66df7b64c6a58902,2020-05-15 15:04:09-07:00,12,50.416666666666664,0.9238095238095239,0.04883151901109765
94,azure,Azure-Samples/cognitive-services-qnamaker-java,df033001d6e5a4be3e2ad432fb0a030af81ee401,2019-10-02 15:13:08-07:00,9,88.44444444444444,1.697674418604651,0.00045399263843945746
95,azure,Azure-Samples/compute-java-create-virtual-machines-across-regions-in-parallel,09189665b70b0b0b38dc56c4eb5422f3d33aaa73,2020-01-14 16:29:15+08:00,2,1291.0,3.868131868131868,0.0
96,azure,Azure-Samples/compute-java-create-virtual-machines-from-generalized-image-or-specialized-vhd,d625053775fed1453c629e4bec958678568ca748,2020-01-14 16:17:03+08:00,3,946.6666666666666,3.6636363636363636,0.0
97,azure,Azure-Samples/compute-java-create-vms-async-tracking-related-resources,1e4aae89013b07d2396b6a7f0f97467579ae8b67,2020-01-14 16:26:42+08:00,2,1309.5,3.860215053763441,0.0
98,azure,Azure-Samples/compute-java-list-compute-skus,95229d300e5b12e070754e6ac83cbbba4872a798,2020-01-14 16:18:43+08:00,2,1256.0,3.8369565217391304,0.0
99,azure,Azure-Samples/compute-java-list-vm-extension-images,739a0fa596dba0d78c3bd6b0f013a2cd37d0954a,2020-01-14 16:16:36+08:00,2,1246.0,3.8131868131868134,0.0
100,azure,Azure-Samples/compute-java-list-vm-images,535bb6091f83b7001911a598f1c341351ce5eef9,2020-01-14 16:28:03+08:00,2,1247.0,3.8241758241758244,0.0
101,azure,Azure-Samples/compute-java-manage-availability-sets,f279fa9a5b8fe23cc894a363097ddfebf9113ce4,2020-01-14 16:28:08+08:00,2,1278.5,3.8131868131868134,0.0
102,azure,Azure-Samples/compute-java-manage-managed-disks,6f5edcddce869714fde742ddd6abde64f26e5e4a,2020-01-14 16:28:18+08:00,3,1023.3333333333334,3.52212389380531,0.0
103,azure,Azure-Samples/compute-java-manage-resources-from-vm-with-msi-in-aad-group,f5f7a4e4fb048a69a879ce2d48755a055d1f6092,2020-01-14 16:18:10+08:00,2,1280.0,3.802197802197802,0.0
104,azure,Azure-Samples/compute-java-manage-scale-set-user-assigned-msi-from-service-principal,d42563d21ed28d80171ec2eeefd7607336e12674,2020-01-14 16:17:55+08:00,2,1280.0,3.8131868131868134,0.0
105,azure,Azure-Samples/compute-java-manage-user-assigned-msi-enabled-virtual-machine,f201462c820351a31ab83ae49f4eb1483b94ef1c,2020-01-14 16:18:38+08:00,2,1276.5,3.782608695652174,0.0
106,azure,Azure-Samples/compute-java-manage-virtual-machine-scale-set-with-unmanaged-disks,a8631793d6c24da5699bd341d20d329c11bc27dd,2020-01-14 16:17:52+08:00,2,1333.0,3.868131868131868,0.0
108,azure,Azure-Samples/compute-java-manage-virtual-machine-scale-sets,37c971b8d5f4e74039d1cafef47cc1e211208ae0,2020-01-14 16:28:30+08:00,2,1336.5,3.868131868131868,0.0
107,azure,Azure-Samples/compute-java-manage-virtual-machine-scale-sets-async,d5149af9bcc3fcf4a6b2ac809a77d9bbc060b986,2020-01-14 16:21:26+08:00,2,1354.5,3.75,0.0
109,azure,Azure-Samples/compute-java-manage-virtual-machine-using-vm-extensions,9a3548acf8322d633d0ecd6ffb106d6a8059b164,2020-01-14 16:16:36+08:00,2,1320.5,3.802197802197802,0.0
110,azure,Azure-Samples/compute-java-manage-virtual-machine-with-disks,7177cb14bc75182bfb58404b13679e904ca3444d,2020-01-14 16:28:21+08:00,2,1282.5,3.8241758241758244,0.0
111,azure,Azure-Samples/compute-java-manage-virtual-machine-with-unmanaged-disks,3cca0a2c94a4cd81e553a2e5bf7444071d1bc5d3,2020-01-14 16:17:45+08:00,2,1288.5,3.8241758241758244,0.0
112,azure,Azure-Samples/compute-java-manage-virtual-machines-in-parallel,fd7a354e47286beceb5bde6c6d7bc7170c313d76,2020-01-14 16:16:53+08:00,2,1263.0,3.8241758241758244,0.0
113,azure,Azure-Samples/compute-java-manage-virtual-machines-with-network-in-parallel,06137ff2a3e51a81fd6f3bbd7cf4a8c6f96ef423,2020-01-14 16:17:02+08:00,2,1313.0,3.868131868131868,0.0
118,azure,Azure-Samples/compute-java-manage-vm,dcd354f1e31c0f210708b8ce537a96acaff6925d,2020-01-14 16:28:25+08:00,2,1282.0,3.8131868131868134,0.0
114,azure,Azure-Samples/compute-java-manage-vm-async,cd9ee7470bb7fea5ebddb5453ccc69a81b20360c,2020-01-14 16:21:08+08:00,2,1306.5,3.6804123711340204,0.0
115,azure,Azure-Samples/compute-java-manage-vm-from-vm-with-msi-credentials,535147e67d3c41c23401f3b58e0c1e531357efd5,2020-01-14 16:18:33+08:00,2,1243.0,3.8333333333333335,0.0
116,azure,Azure-Samples/compute-java-manage-vms-in-availability-zones,771c99193bc0ea069585a5ce2faaa4d4c51830c4,2020-01-14 16:18:19+08:00,2,1271.5,3.802197802197802,0.0
117,azure,Azure-Samples/compute-java-manage-vmss-in-availability-zones,22a2ccc2d59e30bf12a381359e15b828a0efb88c,2020-01-14 16:18:21+08:00,2,1305.5,3.8241758241758244,0.0
119,azure,Azure-Samples/cosmos-changefeed-cassandra-java,d36d8e586dda03243edfd0ea94b422c4ecd14c08,2020-04-24 17:03:20+05:18,4,45.0,1.625,0.018162610303988913
120,azure,Azure-Samples/cosmosdb-java-as-cache-for-apache-camel,892bf0c7d3e67a28224fb654dc5588aada1b00c5,2019-08-09 10:18:28-06:00,2,59.0,1.5555555555555556,0.21236655116081238
121,azure,Azure-Samples/cosmosdb-java-create-cosmosdb-and-configure-firewall,f411eb47a0e100ebd3d6ba1d33e1fe008f13cbc3,2020-01-14 16:16:04+08:00,2,1248.5,3.8131868131868134,0.0
