framework,path,current_version,next_version,framework_release_date (YYYY-DD-MM),sample_update_date (YYYY-DD-MM) ,delay_in_days
android,repositories/googlesamples/android-AutofillFramework/Application/build.gradle,26,28,2018/25/07,2018/08/05,0
android,repositories/googlesamples/android-AutofillFramework/afservice/build.gradle,26,27,2017/05/12,2018/22/01,48
android,repositories/googlesamples/android-AutofillFramework/afservice/build.gradle,27,26,2017/08/06,2018/15/02,252
android,repositories/googlesamples/android-AutofillFramework/afservice/build.gradle,26,27,2017/05/12,2018/23/02,80
android,repositories/googlesamples/android-AutofillFramework/afservice/build.gradle,27,28,2018/25/07,2018/08/05,0
android,repositories/googlesamples/android-play-location/Geofencing/app/build.gradle,25,26,2017/08/06,2017/04/12,179
android,repositories/googlesamples/android-play-location/LocationUpdatesPendingIntent/app/build.gradle,25,26,2017/08/06,2017/04/12,179
android,repositories/googlesamples/android-play-location/LocationUpdatesForegroundService/app/build.gradle,25,26,2017/08/06,2017/04/12,179
android,repositories/googlesamples/google-services/android/gcm/app/build.gradle,25,27,2017/05/12,2018/22/05,168
android,repositories/googlesamples/google-services/android/analytics/app/build.gradle,25,27,2017/05/12,2018/22/05,168
android,repositories/googlesamples/google-services/android/signin/app/build.gradle,26,27,2017/05/12,2018/22/05,168
android,repositories/googlesamples/google-services/android/signin/app/build.gradle,27,29,2019/03/09,2019/04/11,62
android,repositories/googlesamples/easypermissions/easypermissions/build.gradle,23,24,2016/15/06,2016/14/09,91
android,repositories/googlesamples/easypermissions/app/build.gradle,23,24,2016/15/06,2016/14/09,91
android,repositories/googlesamples/android-testing/integration/ServiceTestRuleSample/app/build.gradle,22,23,2015/17/08,2015/01/09,15
android,repositories/googlesamples/android-testing/integration/ServiceTestRuleSample/app/build.gradle,23,24,2016/15/06,2016/01/08,47
android,repositories/googlesamples/android-testing/integration/ServiceTestRuleSample/app/build.gradle,24,26,2017/08/06,2017/25/07,47
android,repositories/googlesamples/android-testing/integration/ServiceTestRuleSample/app/build.gradle,26,28,2018/25/07,2018/16/07,0
android,repositories/googlesamples/android-testing/integration/ServiceTestRuleSample/app/build.gradle,28,26,2017/08/06,2018/01/08,419
android,repositories/googlesamples/android-testing/integration/ServiceTestRuleSample/app/build.gradle,26,28,2018/25/07,2018/18/09,55
android,repositories/googlesamples/android-testing/integration/ServiceTestRuleSample/app/build.gradle,28,26,2017/08/06,2018/19/09,468
android,repositories/googlesamples/android-testing/integration/ServiceTestRuleSample/app/build.gradle,26,28,2018/25/07,2018/24/10,91
android,repositories/googlesamples/android-testing/ui/uiautomator/BasicSample/app/build.gradle,22,23,2015/17/08,2015/01/09,15
android,repositories/googlesamples/android-testing/ui/uiautomator/BasicSample/app/build.gradle,23,24,2016/15/06,2016/01/08,47
android,repositories/googlesamples/android-testing/ui/uiautomator/BasicSample/app/build.gradle,24,26,2017/08/06,2017/25/07,47
android,repositories/googlesamples/android-testing/ui/uiautomator/BasicSample/app/build.gradle,26,28,2018/25/07,2018/11/10,78
android,repositories/googlesamples/android-testing/ui/uiautomator/BasicSample/app/build.gradle,28,26,2017/08/06,2018/24/10,503
android,repositories/googlesamples/android-testing/ui/uiautomator/BasicSample/app/build.gradle,26,28,2018/25/07,2018/24/10,91
android,repositories/googlesamples/android-testing/ui/espresso/DataAdapterSample/app/build.gradle,22,23,2015/17/08,2015/01/09,15
android,repositories/googlesamples/android-testing/ui/espresso/DataAdapterSample/app/build.gradle,23,24,2016/15/06,2016/01/08,47
android,repositories/googlesamples/android-testing/ui/espresso/DataAdapterSample/app/build.gradle,24,26,2017/08/06,2017/25/07,47
android,repositories/googlesamples/android-testing/ui/espresso/DataAdapterSample/app/build.gradle,26,28,2018/25/07,2018/11/10,78
android,repositories/googlesamples/android-testing/ui/espresso/DataAdapterSample/app/build.gradle,28,26,2017/08/06,2018/24/10,503
android,repositories/googlesamples/android-testing/ui/espresso/DataAdapterSample/app/build.gradle,26,28,2018/25/07,2018/24/10,91
android,repositories/googlesamples/android-testing/ui/espresso/WebBasicSample/app/build.gradle,22,23,2015/17/08,2015/01/09,15
android,repositories/googlesamples/android-testing/ui/espresso/WebBasicSample/app/build.gradle,23,24,2016/15/06,2016/01/08,47
android,repositories/googlesamples/android-testing/ui/espresso/WebBasicSample/app/build.gradle,24,26,2017/08/06,2017/25/07,47
android,repositories/googlesamples/android-testing/ui/espresso/WebBasicSample/app/build.gradle,26,28,2018/25/07,2018/11/10,78
android,repositories/googlesamples/android-testing/ui/espresso/WebBasicSample/app/build.gradle,28,26,2017/08/06,2018/24/10,503
android,repositories/googlesamples/android-testing/ui/espresso/WebBasicSample/app/build.gradle,26,28,2018/25/07,2018/24/10,91
android,repositories/googlesamples/android-Camera2Basic/Application/build.gradle,21,23,2015/17/08,2015/20/08,3
android,repositories/googlesamples/android-Camera2Basic/Application/build.gradle,23,24,2016/15/06,2016/12/08,58
android,repositories/googlesamples/android-Camera2Basic/Application/build.gradle,24,25,2016/22/11,2016/13/12,21
android,repositories/googlesamples/android-Camera2Basic/Application/build.gradle,25,26,2017/08/06,2017/10/10,124
android,repositories/googlesamples/android-Camera2Basic/Application/build.gradle,26,27,2017/05/12,2017/08/12,3
android,repositories/googlesamples/android-credentials/sms-verification/android/app/build.gradle,24,25,2016/22/11,2017/29/06,219
android,repositories/googlesamples/android-credentials/credentials-signin/app/build.gradle,23,27,2017/05/12,2018/03/10,302
android,repositories/googlesamples/android-credentials/credentials-quickstart/app/build.gradle,25,27,2017/05/12,2018/19/01,45
android,repositories/googlesamples/android-nearby/messages/NearbyDevices/app/build.gradle,22,23,2015/17/08,2016/20/05,277
android,repositories/googlesamples/android-nearby/connections/rockpaperscissors/app/build.gradle,26,27,2017/05/12,2018/14/02,71
android,repositories/googlesamples/android-nearby/connections/rockpaperscissors/app/build.gradle,27,28,2018/25/07,2018/08/07,0
android,repositories/googlesamples/android-nearby/connections/walkietalkie/app/build.gradle,25,27,2017/05/12,2018/14/02,71
android,repositories/googlesamples/android-nearby/connections/walkietalkie/app/build.gradle,27,28,2018/25/07,2019/24/02,214
android,repositories/googlesamples/android-AppUsageStatistics/Application/build.gradle,21,22,2015/09/03,2015/28/04,50
android,repositories/googlesamples/android-AppUsageStatistics/Application/build.gradle,22,23,2015/17/08,2015/17/08,0
android,repositories/googlesamples/android-AppUsageStatistics/Application/build.gradle,23,24,2016/15/06,2016/12/08,58
android,repositories/googlesamples/android-AppUsageStatistics/Application/build.gradle,24,25,2016/22/11,2016/13/12,21
android,repositories/googlesamples/android-AppUsageStatistics/Application/build.gradle,25,26,2017/08/06,2017/10/10,124
android,repositories/googlesamples/android-AppUsageStatistics/Application/build.gradle,26,27,2017/05/12,2018/15/02,72
android,repositories/googlesamples/android-custom-lint-rules/android-studio-3/library/build.gradle,26,29,2019/03/09,2019/23/11,81
android,repositories/googlesamples/android-custom-lint-rules/android-studio-3/library/build.gradle,29,26,2017/08/06,2020/09/01,945
android,repositories/googlesamples/android-custom-lint-rules/android-studio-3/library/build.gradle,26,29,2019/03/09,2020/31/01,150
android,repositories/googlesamples/android-vision/visionSamples/photo-demo/app/build.gradle,22,24,2016/15/06,2016/12/09,89
android,repositories/googlesamples/android-vision/visionSamples/ocr-codelab/ocr-reader-start/app/build.gradle,23,24,2016/15/06,2016/12/09,89
android,repositories/googlesamples/android-vision/visionSamples/ocr-codelab/ocr-reader-start/app/build.gradle,24,27,2017/05/12,2018/02/05,148
android,repositories/googlesamples/android-vision/visionSamples/ocr-codelab/ocr-reader-complete/app/build.gradle,23,24,2016/15/06,2016/12/09,89
android,repositories/googlesamples/android-vision/visionSamples/ocr-codelab/ocr-reader-complete/app/build.gradle,24,27,2017/05/12,2018/02/05,148
android,repositories/googlesamples/android-vision/visionSamples/googly-eyes/app/build.gradle,23,24,2016/15/06,2016/12/09,89
android,repositories/googlesamples/android-vision/visionSamples/multi-tracker/app/build.gradle,23,24,2016/15/06,2016/12/09,89
android,repositories/googlesamples/android-vision/visionSamples/barcode-reader/app/build.gradle,23,24,2016/15/06,2016/12/09,89
android,repositories/googlesamples/android-vision/visionSamples/FaceTracker/app/build.gradle,23,24,2016/15/06,2016/31/08,77
android,repositories/googlesamples/android-ads/advanced/BannerRecyclerViewExample/app/build.gradle,26,28,2018/25/07,2019/18/06,328
android,repositories/googlesamples/android-ads/advanced/APIDemo/app/build.gradle,26,28,2018/25/07,2019/18/06,328
android,repositories/googlesamples/android-ads/admanager/InterstitialExample/app/build.gradle,26,28,2018/25/07,2019/18/06,328
android,repositories/googlesamples/android-ads/admanager/BannerExample/app/build.gradle,26,28,2018/25/07,2019/18/06,328
android,repositories/googlesamples/android-ads/admanager/RewardedVideoExample/app/build.gradle,26,28,2018/25/07,2019/18/06,328
android,repositories/googlesamples/android-ads/admanager/CustomRenderingExample/app/build.gradle,26,28,2018/25/07,2019/18/06,328
android,repositories/googlesamples/android-ads/admob/InterstitialExample/app/build.gradle,26,28,2018/25/07,2019/18/06,328
android,repositories/googlesamples/android-ads/admob/BannerExample/app/build.gradle,26,28,2018/25/07,2019/18/06,328
android,repositories/googlesamples/android-ads/admob/RewardedVideoExample/app/build.gradle,26,28,2018/25/07,2019/18/06,328
android,repositories/googlesamples/android-ads/admob/NativeAdvancedExample/app/build.gradle,26,28,2018/25/07,2019/18/06,328
android,repositories/googlesamples/android-BluetoothLeGatt/Application/build.gradle,21,22,2015/09/03,2015/28/04,50
android,repositories/googlesamples/android-BluetoothLeGatt/Application/build.gradle,22,23,2015/17/08,2015/17/08,0
android,repositories/googlesamples/android-BluetoothLeGatt/Application/build.gradle,23,24,2016/15/06,2016/12/08,58
android,repositories/googlesamples/android-BluetoothLeGatt/Application/build.gradle,24,25,2016/22/11,2016/13/12,21
android,repositories/googlesamples/android-BluetoothLeGatt/Application/build.gradle,25,26,2017/08/06,2017/10/10,124
android,repositories/googlesamples/android-BluetoothLeGatt/Application/build.gradle,26,27,2017/05/12,2018/15/02,72
android,repositories/googlesamples/android-Camera2Raw/Application/build.gradle,21,23,2015/17/08,2015/20/08,3
android,repositories/googlesamples/android-Camera2Raw/Application/build.gradle,23,24,2016/15/06,2016/12/08,58
android,repositories/googlesamples/android-Camera2Raw/Application/build.gradle,24,25,2016/22/11,2016/13/12,21
android,repositories/googlesamples/android-Camera2Raw/Application/build.gradle,25,26,2017/08/06,2017/10/10,124
android,repositories/googlesamples/android-Camera2Raw/Application/build.gradle,26,27,2017/05/12,2018/15/02,72
android,repositories/googlesamples/android-ActionBarCompat-ShareActionProvider/Application/build.gradle,21,22,2015/09/03,2015/28/04,50
android,repositories/googlesamples/android-ActionBarCompat-ShareActionProvider/Application/build.gradle,22,23,2015/17/08,2015/17/08,0
android,repositories/googlesamples/android-ActionBarCompat-ShareActionProvider/Application/build.gradle,23,24,2016/15/06,2016/12/08,58
android,repositories/googlesamples/android-testdpc/app/build.gradle,21,24,2016/15/06,2016/04/01,0
android,repositories/googlesamples/android-testdpc/app/build.gradle,24,25,2016/22/11,2016/24/08,0
android,repositories/googlesamples/android-testdpc/app/build.gradle,25,24,2016/15/06,2016/03/10,110
android,repositories/googlesamples/android-testdpc/app/build.gradle,24,25,2016/22/11,2016/03/10,0
android,repositories/googlesamples/android-testdpc/app/build.gradle,25,24,2016/15/06,2016/03/10,110
android,repositories/googlesamples/android-testdpc/app/build.gradle,24,25,2016/22/11,2016/03/10,0
android,repositories/googlesamples/android-testdpc/app/build.gradle,25,24,2016/15/06,2016/13/09,90
android,repositories/googlesamples/android-testdpc/app/build.gradle,24,25,2016/22/11,2016/18/10,0
android,repositories/googlesamples/android-testdpc/app/build.gradle,25,24,2016/15/06,2016/19/10,126
android,repositories/googlesamples/android-testdpc/app/build.gradle,24,25,2016/22/11,2016/19/10,0
android,repositories/googlesamples/android-testdpc/app/build.gradle,25,24,2016/15/06,2016/19/10,126
android,repositories/googlesamples/android-testdpc/app/build.gradle,24,25,2016/22/11,2016/19/10,0
android,repositories/googlesamples/android-testdpc/app/build.gradle,25,24,2016/15/06,2016/17/11,155
android,repositories/googlesamples/android-testdpc/app/build.gradle,24,25,2016/22/11,2016/21/11,0
android,repositories/googlesamples/android-testdpc/app/build.gradle,25,26,2017/08/06,2016/23/11,0
android,repositories/googlesamples/android-testdpc/app/build.gradle,26,24,2016/15/06,2016/21/11,159
android,repositories/googlesamples/android-testdpc/app/build.gradle,24,26,2017/08/06,2016/09/12,0
android,repositories/googlesamples/android-testdpc/app/build.gradle,26,24,2016/15/06,2017/23/02,253
android,repositories/googlesamples/android-testdpc/app/build.gradle,24,26,2017/08/06,2017/23/02,0
android,repositories/googlesamples/android-testdpc/app/build.gradle,26,24,2016/15/06,2017/20/03,278
android,repositories/googlesamples/android-testdpc/app/build.gradle,24,26,2017/08/06,2017/22/03,0
android,repositories/googlesamples/android-testdpc/app/build.gradle,26,27,2017/05/12,2017/13/12,8
android,repositories/googlesamples/android-testdpc/app/build.gradle,27,28,2018/25/07,2017/19/12,0
android,repositories/googlesamples/android-testdpc/app/build.gradle,28,29,2019/03/09,2019/02/01,0
android,repositories/googlesamples/android-PictureInPicture/kotlinApp/app/build.gradle,26,27,2017/05/12,2017/08/12,3
android,repositories/googlesamples/android-PictureInPicture/app/build.gradle,26,27,2017/05/12,2017/08/12,3
android,repositories/googlesamples/android-Camera2Video/Application/build.gradle,21,23,2015/17/08,2015/20/08,3
android,repositories/googlesamples/android-Camera2Video/Application/build.gradle,23,24,2016/15/06,2016/12/08,58
android,repositories/googlesamples/android-Camera2Video/Application/build.gradle,24,25,2016/22/11,2016/13/12,21
android,repositories/googlesamples/android-Camera2Video/Application/build.gradle,25,26,2017/08/06,2017/10/10,124
android,repositories/googlesamples/android-Camera2Video/Application/build.gradle,26,27,2017/05/12,2018/15/02,72
android,repositories/googlesamples/android-Notifications/Application/build.gradle,24,25,2016/22/11,2016/13/12,21
android,repositories/googlesamples/android-Notifications/Application/build.gradle,25,26,2017/08/06,2017/11/08,64
android,repositories/googlesamples/android-Notifications/Application/build.gradle,26,27,2017/05/12,2018/28/03,113
android,repositories/googlesamples/android-Notifications/Application/build.gradle,27,28,2018/25/07,2018/28/07,3
android,repositories/googlesamples/android-Notifications/Shared/build.gradle,26,27,2017/05/12,2018/28/03,113
android,repositories/googlesamples/android-Notifications/Shared/build.gradle,27,28,2018/25/07,2018/28/07,3
android,repositories/googlesamples/android-Notifications/Wearable/build.gradle,26,28,2018/25/07,2018/28/07,3
android,repositories/googlesamples/android-BasicAccessibility/Application/build.gradle,21,22,2015/09/03,2015/28/04,50
android,repositories/googlesamples/android-BasicAccessibility/Application/build.gradle,22,23,2015/17/08,2015/17/08,0
android,repositories/googlesamples/android-BasicAccessibility/Application/build.gradle,23,24,2016/15/06,2016/12/08,58
android,repositories/googlesamples/android-BasicAccessibility/Application/build.gradle,24,25,2016/22/11,2016/13/12,21
android,repositories/googlesamples/android-BasicAccessibility/Application/build.gradle,25,26,2017/08/06,2017/10/10,124
android,repositories/googlesamples/android-BasicAccessibility/Application/build.gradle,26,27,2017/05/12,2018/15/02,72
android,repositories/googlesamples/android-MediaEffects/Application/build.gradle,19,21,2014/17/10,2014/18/11,32
android,repositories/googlesamples/android-MediaEffects/Application/build.gradle,21,22,2015/09/03,2015/28/04,50
android,repositories/googlesamples/android-MediaEffects/Application/build.gradle,22,23,2015/17/08,2015/17/08,0
android,repositories/googlesamples/android-MediaEffects/Application/build.gradle,23,24,2016/15/06,2016/12/08,58
android,repositories/googlesamples/android-MediaEffects/Application/build.gradle,24,25,2016/22/11,2016/13/12,21
android,repositories/googlesamples/android-MediaEffects/Application/build.gradle,25,26,2017/08/06,2017/10/10,124
android,repositories/googlesamples/android-MediaEffects/Application/build.gradle,26,27,2017/05/12,2018/15/02,72
android,repositories/googlesamples/android-MessagingService/Application/build.gradle,21,22,2015/09/03,2015/28/04,50
android,repositories/googlesamples/android-MessagingService/Application/build.gradle,22,23,2015/17/08,2015/17/08,0
android,repositories/googlesamples/android-MessagingService/Application/build.gradle,23,24,2016/15/06,2016/12/08,58
android,repositories/googlesamples/androidtv-sample-inputs/library/build.gradle,23,24,2016/15/06,2016/30/06,15
android,repositories/googlesamples/androidtv-sample-inputs/library/build.gradle,24,23,2015/17/08,2016/07/07,325
android,repositories/googlesamples/androidtv-sample-inputs/library/build.gradle,23,24,2016/15/06,2016/08/07,23
android,repositories/googlesamples/androidtv-sample-inputs/library/build.gradle,24,23,2015/17/08,2016/08/07,326
android,repositories/googlesamples/androidtv-sample-inputs/library/build.gradle,23,24,2016/15/06,2016/08/07,23
android,repositories/googlesamples/androidtv-sample-inputs/library/build.gradle,24,27,2017/05/12,2018/31/03,116
android,repositories/googlesamples/androidtv-sample-inputs/app/build.gradle,23,24,2016/15/06,2016/19/07,34
android,repositories/googlesamples/androidtv-sample-inputs/app/build.gradle,24,23,2015/17/08,2016/25/07,343
android,repositories/googlesamples/androidtv-sample-inputs/app/build.gradle,23,24,2016/15/06,2016/04/08,50
android,repositories/googlesamples/androidtv-sample-inputs/app/build.gradle,24,27,2017/05/12,2018/31/03,116
android,repositories/googlesamples/androidtv-Leanback/app/build.gradle,20,21,2014/17/10,2014/28/10,11
android,repositories/googlesamples/androidtv-Leanback/app/build.gradle,21,22,2015/09/03,2015/20/03,11
android,repositories/googlesamples/androidtv-Leanback/app/build.gradle,22,23,2015/17/08,2015/07/10,51
android,repositories/googlesamples/androidtv-Leanback/app/build.gradle,23,24,2016/15/06,2016/20/06,5
android,repositories/googlesamples/androidtv-Leanback/app/build.gradle,24,26,2017/08/06,2017/19/07,41
android,repositories/googlesamples/androidtv-Leanback/app/build.gradle,26,27,2017/05/12,2017/15/11,0
android,repositories/googlesamples/androidtv-Leanback/app/build.gradle,27,28,2018/25/07,2019/10/01,169
android,repositories/googlesamples/android-BluetoothChat/Application/build.gradle,19,21,2014/17/10,2014/18/11,32
android,repositories/googlesamples/android-BluetoothChat/Application/build.gradle,21,22,2015/09/03,2015/28/04,50
android,repositories/googlesamples/android-BluetoothChat/Application/build.gradle,22,23,2015/17/08,2015/17/08,0
android,repositories/googlesamples/android-BluetoothChat/Application/build.gradle,23,24,2016/15/06,2016/12/08,58
android,repositories/googlesamples/android-BluetoothChat/Application/build.gradle,24,25,2016/22/11,2016/13/12,21
android,repositories/googlesamples/android-BluetoothChat/Application/build.gradle,25,26,2017/08/06,2017/10/10,124
android,repositories/googlesamples/android-BluetoothChat/Application/build.gradle,26,27,2017/05/12,2018/15/02,72
android,repositories/googlesamples/android-MediaRecorder/Application/build.gradle,21,22,2015/09/03,2015/28/04,50
android,repositories/googlesamples/android-MediaRecorder/Application/build.gradle,22,23,2015/17/08,2015/17/08,0
android,repositories/googlesamples/android-MediaRecorder/Application/build.gradle,23,24,2016/15/06,2016/12/08,58
android,repositories/googlesamples/android-MediaRecorder/Application/build.gradle,24,25,2016/22/11,2016/13/12,21
android,repositories/googlesamples/android-MediaRecorder/Application/build.gradle,25,26,2017/08/06,2017/10/10,124
android,repositories/googlesamples/android-MediaRecorder/Application/build.gradle,26,27,2017/05/12,2018/15/02,72
android,repositories/googlesamples/android-MediaRecorder/Application/build.gradle,27,28,2018/25/07,2019/10/01,169
android,repositories/googlesamples/android-MediaRecorder/Application/build.gradle,28,27,2017/05/12,2019/10/01,401
android,repositories/googlesamples/android-MediaRecorder/Application/build.gradle,27,28,2018/25/07,2019/10/01,169
android,repositories/googlesamples/android-fit/StepCounter/app/build.gradle,23,26,2017/08/06,2017/18/10,132
android,repositories/googlesamples/android-DisplayingBitmaps/Application/build.gradle,21,22,2015/09/03,2015/28/04,50
android,repositories/googlesamples/android-DisplayingBitmaps/Application/build.gradle,22,23,2015/17/08,2015/17/08,0
android,repositories/googlesamples/android-DisplayingBitmaps/Application/build.gradle,23,24,2016/15/06,2016/12/08,58
android,repositories/googlesamples/android-DisplayingBitmaps/Application/build.gradle,24,25,2016/22/11,2016/13/12,21
android,repositories/googlesamples/android-DisplayingBitmaps/Application/build.gradle,25,26,2017/08/06,2017/10/10,124
android,repositories/googlesamples/android-DisplayingBitmaps/Application/build.gradle,26,27,2017/05/12,2018/15/02,72
android,repositories/googlesamples/android-testing-templates/AndroidTestingBlueprint/module-flavor1-androidTest-only/build.gradle,22,23,2015/17/08,2015/15/09,29
android,repositories/googlesamples/android-testing-templates/AndroidTestingBlueprint/module-android-library/build.gradle,22,23,2015/17/08,2015/15/09,29
android,repositories/googlesamples/android-testing-templates/AndroidTestingBlueprint/app/build.gradle,22,23,2015/17/08,2015/15/09,29
android,repositories/googlesamples/android-ActivityInstrumentation/Application/build.gradle,21,22,2015/09/03,2015/28/04,50
android,repositories/googlesamples/android-ActivityInstrumentation/Application/build.gradle,22,23,2015/17/08,2015/17/08,0
android,repositories/googlesamples/android-ActivityInstrumentation/Application/build.gradle,23,24,2016/15/06,2016/12/08,58
android,repositories/googlesamples/android-ActivityInstrumentation/Application/build.gradle,24,25,2016/22/11,2016/13/12,21
android,repositories/googlesamples/android-ActivityInstrumentation/Application/build.gradle,25,26,2017/08/06,2017/10/10,124
android,repositories/googlesamples/android-ActivityInstrumentation/Application/build.gradle,26,27,2017/05/12,2018/15/02,72
android,repositories/googlesamples/android-CustomChoiceList/Application/build.gradle,21,22,2015/09/03,2015/28/04,50
android,repositories/googlesamples/android-CustomChoiceList/Application/build.gradle,22,23,2015/17/08,2015/17/08,0
android,repositories/googlesamples/android-CustomChoiceList/Application/build.gradle,23,24,2016/15/06,2016/12/08,58
