framework,path,commits,date,numberOfJavaFiles,countLineCode/numberOfJavaFiles,SumCyclomaticStrict/CountDeclMethod,readability
spring,spring-guides/gs-scheduling-tasks,c687ed5662a04ea92412a60124caf20cb4cfef62,2013-04-17 12:01:13-05:00,0,0,0,0
spring,spring-guides/gs-scheduling-tasks,a46fa0ca24ed384fd206d020d3ca6cecc12c533f,2013-04-17 12:23:19-05:00,0,0,0,0
spring,spring-guides/gs-scheduling-tasks,802a0db6e92c8f01831dd28fef3f51cce426fb41,2013-04-17 13:44:47-05:00,0,0,0,0
spring,spring-guides/gs-scheduling-tasks,71eb0efa9a033928212e14c210c3df13ff0cfe68,2013-04-17 17:03:08-05:00,5,16.0,1.3333333333333333,0.19937386369565502
spring,spring-guides/gs-scheduling-tasks,b52f18fba17933f7a9a69f3cc0e6c0b705a9f9db,2013-04-17 17:11:18-05:00,5,16.0,1.3333333333333333,0.19937386369565502
spring,spring-guides/gs-scheduling-tasks,86c90e324b13566bc7856a087e113358b39adb1c,2013-04-17 17:19:54-05:00,5,16.0,1.3333333333333333,0.19645414518890902
spring,spring-guides/gs-scheduling-tasks,6e57a9878b57106bff7392ca3703cac5f7fd8fe7,2013-04-17 17:20:28-05:00,5,16.0,1.3333333333333333,0.19645414518890902
spring,spring-guides/gs-scheduling-tasks,bf140977f2b8737a732bcbd427b017dc4d29c4f8,2013-04-18 08:52:51-05:00,5,16.0,1.3333333333333333,0.19645414518890902
spring,spring-guides/gs-scheduling-tasks,e60722dc1c35494a6f7d1079ced391ba3a6bdeb8,2013-04-18 09:43:48-05:00,5,16.0,1.3333333333333333,0.19645414518890902
spring,spring-guides/gs-scheduling-tasks,d28bd578e00c7b034b3bce0950724c4419e60787,2013-04-18 10:08:18-05:00,5,16.0,1.3333333333333333,0.19645414518890902
spring,spring-guides/gs-scheduling-tasks,a6e9f361db47cbbaee029bf35044519418e154a8,2013-04-18 10:31:14-05:00,5,15.8,1.3333333333333333,0.1979297071695328
spring,spring-guides/gs-scheduling-tasks,08ee5e6bd222ac446928c2812122b96328c2df99,2013-04-18 15:28:32-05:00,5,15.8,1.3333333333333333,0.1979297071695328
spring,spring-guides/gs-scheduling-tasks,c1ed337a44e1877623ea91ee040f61a9894ff91c,2013-04-18 15:30:44-05:00,5,15.8,1.3333333333333333,0.1979297071695328
spring,spring-guides/gs-scheduling-tasks,1af7308dffb00777c1deb66df5f3c32a7c6a6c31,2013-04-18 15:37:05-05:00,10,9.4,1.3333333333333333,0.5767988875508309
spring,spring-guides/gs-scheduling-tasks,3b1f4f2b56a167e8ec614f7a3052f8e7449aa9db,2013-04-18 16:52:57-05:00,10,9.4,1.3333333333333333,0.5767988875508309
spring,spring-guides/gs-scheduling-tasks,a3b0e11b8242c1b3a9f761ecf461861513376f4f,2013-04-18 16:55:39-05:00,10,9.4,1.3333333333333333,0.5767988875508309
spring,spring-guides/gs-scheduling-tasks,8d9402998d402bd78de45c727b00a4505ce543af,2013-04-19 08:36:05-05:00,10,9.4,1.3333333333333333,0.5767988875508309
spring,spring-guides/gs-scheduling-tasks,2ed5584f9ee55f1f77f5a5930e5072eed6e66154,2013-04-19 09:11:21-05:00,10,9.4,1.3333333333333333,0.5767988875508309
spring,spring-guides/gs-scheduling-tasks,089c010994701e2a3ab256792fb55b8e733f9a70,2013-04-22 15:05:14-05:00,8,14.25,1.3333333333333333,0.28815327398478985
spring,spring-guides/gs-scheduling-tasks,574974149d4995458cac2b51b21d2600b835ccea,2013-04-22 15:09:24-05:00,8,14.25,1.3333333333333333,0.28815327398478985
spring,spring-guides/gs-scheduling-tasks,a12fb9c8c79f18f83b323c76de12244d86e41725,2013-04-22 15:37:15-05:00,8,14.25,1.3333333333333333,0.2894722558557987
spring,spring-guides/gs-scheduling-tasks,7c548a2ada5fcc19cc120bb07e185094c791e355,2013-05-08 19:48:56-05:00,6,14.666666666666666,1.6,0.21051991148851812
spring,spring-guides/gs-scheduling-tasks,0dfe507eb8761dd5186baf21a097c154605d5c76,2013-05-09 08:22:06-05:00,6,14.666666666666666,1.6,0.21051991148851812
spring,spring-guides/gs-scheduling-tasks,e09e401cde1e96f9334b7cffd9ff37d7bb7d3bf9,2013-05-09 09:34:56-05:00,6,14.666666666666666,1.6,0.21051991148851812
spring,spring-guides/gs-scheduling-tasks,115652f27984c342eac60a2f045cd9de4c9b6ab2,2013-05-09 10:04:16-05:00,5,14.6,1.75,0.2742728193057701
spring,spring-guides/gs-scheduling-tasks,c1c4b98d5659f46ecf03dcd3828c7e5b7a0b241d,2013-05-09 10:48:07-05:00,4,9.75,1.0,0.5362720862030983
spring,spring-guides/gs-scheduling-tasks,d9dd267d0f420f0cadd398d66586bd406f8cf418,2013-05-09 11:02:31-05:00,4,9.75,1.0,0.5437604635953903
spring,spring-guides/gs-scheduling-tasks,a2f84847381efcf148b859659f081c66d437c955,2013-05-09 11:07:52-05:00,4,9.75,1.0,0.5475568398833275
spring,spring-guides/gs-scheduling-tasks,2d7de6b4c6f7b76ac8895394085e5dee00c16760,2013-05-09 14:06:10-05:00,2,9.5,1.0,0.6220425069332123
spring,spring-guides/gs-scheduling-tasks,0ee70c84c45b79b8da1fd57f9df7265714bfde79,2013-05-22 13:20:21+02:00,2,10.0,1.0,0.5569387599825859
spring,spring-guides/gs-scheduling-tasks,2f146b34132e7aead207d708c0a8e0cd89ee92fa,2013-05-22 13:20:21+02:00,2,10.0,1.0,0.5569387599825859
spring,spring-guides/gs-scheduling-tasks,180b9c11db527f634f2600e007b9623d5dcb1f50,2013-05-22 04:42:35-07:00,2,10.0,1.0,0.5569387599825859
spring,spring-guides/gs-scheduling-tasks,36b7cbbeb4e273e6dfbcab6e3b94a354d7c97265,2013-05-22 14:36:22-05:00,2,10.0,1.0,0.5569387599825859
spring,spring-guides/gs-scheduling-tasks,f4e238fd91db19bbc9893a672f638a590bd708c2,2013-05-22 15:13:02-05:00,2,10.0,1.0,0.5569387599825859
spring,spring-guides/gs-scheduling-tasks,cc9b0a5e118c94ba18d5d908c1ce1adb684c1dba,2013-05-23 13:21:12+02:00,2,10.0,1.0,0.5569387599825859
spring,spring-guides/gs-scheduling-tasks,b64e9790cfd275c14d274953bce42cd65a8b820e,2013-05-23 13:24:20+02:00,2,10.0,1.0,0.5569387599825859
spring,spring-guides/gs-scheduling-tasks,dc35e90defa5cadb407cb03e7c415e323784b89b,2013-05-23 13:26:17+02:00,2,10.0,1.0,0.5569387599825859
spring,spring-guides/gs-scheduling-tasks,082b70c05ccf2da0c9a74c5ba1b8dd851f503960,2013-05-23 19:22:20+02:00,2,10.0,1.0,0.5569387599825859
spring,spring-guides/gs-scheduling-tasks,8088b446453c713a8094448d51d2a90d7d1bdbed,2013-05-24 06:15:22-07:00,2,10.0,1.0,0.5569387599825859
spring,spring-guides/gs-scheduling-tasks,2ea54775337df193352b654a6f195348af225417,2013-05-24 08:37:25-07:00,2,10.0,1.0,0.5569387599825859
spring,spring-guides/gs-scheduling-tasks,04b28f441c1a322a64132a2c6c729aed572295d9,2013-05-24 10:04:43-07:00,2,10.0,1.0,0.5569387599825859
spring,spring-guides/gs-scheduling-tasks,3024b6ec9de7deb67bf20eb7740c5691074db00a,2013-05-27 19:38:51+02:00,2,10.0,1.0,0.5569387599825859
spring,spring-guides/gs-scheduling-tasks,fcd1259932116b207e003df5e150a4ea0859f30b,2013-05-28 11:48:14+02:00,2,10.0,1.0,0.5569387599825859
spring,spring-guides/gs-scheduling-tasks,ce9177ab3bda4bbaf52587a4cd918d8f0121ea59,2013-06-03 08:50:36+02:00,2,10.0,1.0,0.5569387599825859
spring,spring-guides/gs-scheduling-tasks,8ebd9e1edbd1a8fa6377e0dee35fddb8553498f8,2013-06-03 09:16:24+02:00,2,10.0,1.0,0.5569387599825859
spring,spring-guides/gs-scheduling-tasks,631c585471324ad8bc9b86a0071ab61716e8e5ee,2013-06-03 09:30:32+02:00,2,10.0,1.0,0.5569387599825859
spring,spring-guides/gs-scheduling-tasks,66d7ba2af289164b9b01f444312fdf7f8eef4c74,2013-06-06 15:51:54-05:00,2,10.0,1.0,0.5569387599825859
spring,spring-guides/gs-scheduling-tasks,ad6ab68f952d02c4e8b6178b229693c389da11a5,2013-06-21 14:19:00-04:00,2,10.0,1.0,0.5569387599825859
spring,spring-guides/gs-scheduling-tasks,c4ca53d3446ddccfb15ec6a9e621daff5f047ed5,2013-07-02 14:59:44-04:00,2,10.0,1.0,0.5569387599825859
spring,spring-guides/gs-scheduling-tasks,7db0318c749e5c25536bb047eae31081a4276bba,2013-07-03 22:22:43-04:00,2,10.0,1.0,0.5569387599825859
spring,spring-guides/gs-scheduling-tasks,38b81d8c287eb4aae6d78a50d1f4afc11797abe6,2013-07-09 16:33:58-05:00,2,10.0,1.0,0.5569387599825859
spring,spring-guides/gs-scheduling-tasks,f9917c1b10f28dd11fd3c2b195ac311738dd9c4f,2013-07-11 11:16:40-05:00,2,10.0,1.0,0.5569387599825859
spring,spring-guides/gs-scheduling-tasks,3ca9a51dc9272235619f4a8a83331a47f43ccff1,2013-07-12 08:14:08-05:00,2,10.0,1.0,0.5569387599825859
spring,spring-guides/gs-scheduling-tasks,1a68570a7c8fad66f66b6768ba0732c6f8dfe67c,2013-07-15 08:54:43-04:00,2,10.0,1.0,0.5569387599825859
spring,spring-guides/gs-scheduling-tasks,401079ad3c75159e58617c9b472486dfe2a03a40,2013-07-15 16:30:24-04:00,2,10.0,1.0,0.5569387599825859
spring,spring-guides/gs-scheduling-tasks,7dd60a7d1edf181767e35afe57b5c068e3d7042a,2013-07-17 07:12:34-04:00,2,10.0,1.0,0.5569387599825859
spring,spring-guides/gs-scheduling-tasks,4b6bf80f7bd593e1706479bd1c9badaac2da0a0e,2013-07-17 07:22:53-04:00,2,10.0,1.0,0.5569387599825859
spring,spring-guides/gs-scheduling-tasks,5132644b38efc05188505ef0d66f4f3cc59a3be0,2013-07-18 10:41:37-04:00,2,10.0,1.0,0.5569387599825859
spring,spring-guides/gs-scheduling-tasks,c451bba8d303f46ed17894a063e2a28e65fbd523,2013-07-18 12:06:16-04:00,2,10.0,1.0,0.5569387599825859
spring,spring-guides/gs-scheduling-tasks,b6f570c13c4e48339fbd2a2ff6b6a1197c7dee36,2013-07-18 15:16:03-04:00,2,10.0,1.0,0.5569387599825859
spring,spring-guides/gs-scheduling-tasks,0480f1c7c92bc1d81e86c179005c49fdda9f277c,2013-07-18 15:39:19-04:00,2,10.0,1.0,0.5569387599825859
spring,spring-guides/gs-scheduling-tasks,c9cc7aca4494b910f8d672a7e8155a61bb186dc8,2013-07-18 13:47:15-07:00,2,10.0,1.0,0.5569387599825859
spring,spring-guides/gs-scheduling-tasks,396c47b68ca744dd3d44fb4060b86d69315578fa,2013-07-18 14:24:00-07:00,2,10.0,1.0,0.5569387599825859
spring,spring-guides/gs-scheduling-tasks,7a8854b078586f0069718e34925712c5d0e0563f,2013-07-19 05:53:31-07:00,2,10.0,1.0,0.5569387599825859
spring,spring-guides/gs-scheduling-tasks,81d912e0051bc36d3d626b8b34263042364d22c9,2013-07-19 10:28:27-04:00,2,10.0,1.0,0.5569387599825859
spring,spring-guides/gs-scheduling-tasks,e0c2e7a9af22fe1363d5cd89f08def8bde8d4348,2013-07-19 16:35:01-04:00,2,10.0,1.0,0.5569387599825859
spring,spring-guides/gs-scheduling-tasks,f08abb810985524559192c9f78fd5060ed8a9c00,2013-07-23 16:11:23-04:00,2,10.0,1.0,0.5569387599825859
spring,spring-guides/gs-scheduling-tasks,abb3a51b21c18692e9c7b083dc7165df550da40a,2013-07-26 12:27:13-04:00,2,10.0,1.0,0.5569387599825859
spring,spring-guides/gs-scheduling-tasks,6f82db94275c547608eddaa4e820281c40f79972,2013-07-30 10:19:49-04:00,2,10.0,1.0,0.5595266446471214
spring,spring-guides/gs-scheduling-tasks,28d058d35580e5cdfc44b85d0638c8a4519c3aa6,2013-07-31 15:43:09-04:00,2,10.0,1.0,0.5595266446471214
spring,spring-guides/gs-scheduling-tasks,788ad9fd763f5c1c2c302f45cc5b124292f6421e,2013-08-01 14:34:17-04:00,2,10.0,1.0,0.5595266446471214
spring,spring-guides/gs-scheduling-tasks,a5761fb7f6cce65dfaf3c457dc885b380afe7288,2013-08-01 22:04:50-04:00,2,10.0,1.0,0.5595266446471214
spring,spring-guides/gs-scheduling-tasks,cfee74e9b9de7382a25e80f84dcd297601428e3e,2013-08-06 11:24:17-05:00,2,10.0,1.0,0.5595266446471214
spring,spring-guides/gs-scheduling-tasks,fdc7c0200ed820c4039e58f98c121ef5763b9152,2013-08-06 14:44:01-05:00,2,10.0,1.0,0.5595266446471214
spring,spring-guides/gs-scheduling-tasks,b73b9b28e904f76806bc40fa65e2ef8acabd5afa,2013-08-08 00:48:39-04:00,2,10.0,1.0,0.5595266446471214
spring,spring-guides/gs-scheduling-tasks,630f9c28fff8845fe804f8a55a9f78b26234dc0d,2013-08-08 10:38:41+02:00,2,10.0,1.0,0.5595266446471214
spring,spring-guides/gs-scheduling-tasks,9863a50a1c315556b41ae94206e81f136a9d1bc5,2013-08-08 11:28:33-05:00,2,10.0,1.0,0.5595266446471214
spring,spring-guides/gs-scheduling-tasks,f5a43b87719cdba49bd1da033ddd76f48238400d,2013-08-09 12:04:35-05:00,2,10.0,1.0,0.5595266446471214
spring,spring-guides/gs-scheduling-tasks,4fcb105e1252a4eda2cffb1cfbc190f0bcf911c1,2013-08-09 13:18:37-05:00,2,10.0,1.0,0.5595266446471214
spring,spring-guides/gs-scheduling-tasks,671dade0c7542cc640cf791aa400b5531f2d5fe4,2013-08-10 21:43:26+02:00,2,10.0,1.0,0.5595266446471214
spring,spring-guides/gs-scheduling-tasks,2d47696c3c56900d702f98ba17fcff6bbcff4475,2013-08-12 14:00:40-05:00,2,10.0,1.0,0.5595266446471214
spring,spring-guides/gs-scheduling-tasks,e2d920f4c23eab26177fb068d4791fc005369f85,2013-08-12 14:32:20-05:00,2,10.0,1.0,0.5595266446471214
spring,spring-guides/gs-scheduling-tasks,6d42b4d8269fa31c7c5c8ad585adcb05bed19c56,2013-08-13 13:02:43-05:00,2,10.0,1.0,0.5595266446471214
spring,spring-guides/gs-scheduling-tasks,9612e7d65c4d0522ddb9d6e9a62df4c84b3c7b16,2013-08-13 14:06:33-05:00,2,10.0,1.0,0.5595266446471214
spring,spring-guides/gs-scheduling-tasks,f2cda4913e21f38e74f0016d0984560b4878e32d,2013-08-15 11:57:11-05:00,2,10.0,1.0,0.5595266446471214
spring,spring-guides/gs-scheduling-tasks,11952221075c09caa83219547b17b5e8c56829cd,2013-08-15 12:04:08-05:00,2,10.0,1.0,0.5595266446471214
spring,spring-guides/gs-scheduling-tasks,b115f72e5844955e494fae52625413847207b465,2013-08-15 12:28:24-05:00,2,10.0,1.0,0.5595266446471214
spring,spring-guides/gs-scheduling-tasks,3c4265642a27f779f177e1f63a6672eff422c697,2013-08-16 10:01:22-05:00,2,10.0,1.0,0.5595266446471214
spring,spring-guides/gs-scheduling-tasks,4151a9c45ea3b2159385ba6c77f580d1fc33f75b,2013-08-16 14:02:57-04:00,2,10.0,1.0,0.5595266446471214
spring,spring-guides/gs-scheduling-tasks,d591c55c2254300512836e82d13716e129aef49c,2013-08-16 14:53:44-05:00,2,10.0,1.0,0.5595266446471214
spring,spring-guides/gs-scheduling-tasks,4b64d4cf0d525e49062f8766e3b362ff220c2960,2013-08-16 15:08:01-05:00,2,10.0,1.0,0.5595266446471214
spring,spring-guides/gs-scheduling-tasks,919b5a70ae85e40cf16f956ba13106f995f09be0,2013-08-16 15:35:37-05:00,2,10.0,1.0,0.5595266446471214
spring,spring-guides/gs-scheduling-tasks,aa2f0a6593d5e0f2d2db062960bfc78cef30bcf6,2013-08-16 15:53:36-05:00,2,10.0,1.0,0.5595266446471214
spring,spring-guides/gs-scheduling-tasks,8b2b3ce2005fb438e066f22d242587e6091f9696,2013-08-16 18:51:06-07:00,2,10.0,1.0,0.5595266446471214
spring,spring-guides/gs-scheduling-tasks,a2ded3e21c491348e204f96f0cfbaede1ef9c9fc,2013-08-19 07:02:55-07:00,2,10.0,1.0,0.5595266446471214
spring,spring-guides/gs-scheduling-tasks,0955c64e61bce187874522d215b4cc081e7c9a0e,2013-08-19 11:13:22-05:00,2,10.0,1.0,0.5595266446471214
spring,spring-guides/gs-scheduling-tasks,fa5219149533b266b071cafdf1884c0cabfd3fc1,2013-08-23 13:47:04-05:00,2,10.0,1.0,0.5595266446471214
spring,spring-guides/gs-scheduling-tasks,28fb8352c2fda739d1e15c36cc9a29c49b4af58a,2013-08-24 14:52:42+02:00,2,10.0,1.0,0.5595266446471214
spring,spring-guides/gs-scheduling-tasks,8a9c01bfac9b9c7e873707c901d69648aca1b65a,2013-08-28 16:53:44-05:00,2,10.0,1.0,0.5595266446471214
spring,spring-guides/gs-scheduling-tasks,f45a94934ef33b63cf4d92bc9a31533f65902681,2013-08-30 16:42:21-05:00,2,10.0,1.0,0.5595266446471214
spring,spring-guides/gs-scheduling-tasks,3c403500b2498b4dbe84e30bc61f972b0d826322,2013-09-06 15:25:34-05:00,2,10.0,1.0,0.5595266446471214
spring,spring-guides/gs-scheduling-tasks,d82824ed8b00b5f2770a3f0d8252db8a830857b3,2013-09-08 17:53:01-05:00,2,10.0,1.0,0.5595266446471214
spring,spring-guides/gs-scheduling-tasks,b2d79ae69cb7fa9e2ec4c3b4a7659cbade4261c1,2013-09-08 21:45:11-05:00,2,10.0,1.0,0.5595266446471214
spring,spring-guides/gs-scheduling-tasks,d87b93270c8444f48965b47515a4dbc64fb99b08,2013-09-09 09:16:54-07:00,2,10.0,1.0,0.5595266446471214
spring,spring-guides/gs-scheduling-tasks,454835109b706a81d0f6b7b9aa245ed6248eaac6,2013-09-11 17:56:26-07:00,2,10.0,1.0,0.5595266446471214
spring,spring-guides/gs-scheduling-tasks,8e01cba8c291ceafacaac7505266c1482b4d3db4,2013-09-27 10:32:20-05:00,2,10.0,1.0,0.5595266446471214
spring,spring-guides/gs-scheduling-tasks,c19032df4abb785809394381bbe12109c73abaa1,2013-09-30 08:19:18-05:00,2,10.0,1.0,0.5595266446471214
spring,spring-guides/gs-scheduling-tasks,5272df1a043cfda708c8c1b099561215d23cba8e,2013-09-30 09:27:12-05:00,2,10.0,1.0,0.5595266446471214
spring,spring-guides/gs-scheduling-tasks,55c59df4a736ce709e360836116262e885cf6832,2013-09-30 11:59:05-05:00,2,10.0,1.0,0.5595266446471214
spring,spring-guides/gs-scheduling-tasks,761bec7cd1e626cc16bdd9d78706a72f14f83f4d,2013-10-30 10:03:56-05:00,2,10.0,1.0,0.5595266446471214
spring,spring-guides/gs-scheduling-tasks,8be0c39fcf2f9bd6e713415e10516818d4db6d0c,2013-11-18 15:52:35-06:00,2,10.0,1.0,0.5595266446471214
